MerchandiseStand,TransactionTime,Qty
Merch3,12/09/22 19:28,1
Merch5,12/09/22 19:28,1
Merch2,12/09/22 19:28,1
Merch4,12/09/22 19:28,1
Merch6,12/09/22 19:28,1
Merch1,12/09/22 19:28,3
Merch5,12/09/22 19:28,1
Merch4,12/09/22 19:29,1
Merch3,12/09/22 19:29,3
Merch6,12/09/22 19:29,1
Merch2,12/09/22 19:29,4
Merch1,12/09/22 19:29,4
Merch3,12/09/22 19:29,3
Merch4,12/09/22 19:29,5
Merch6,12/09/22 19:29,4
Merch2,12/09/22 19:29,2
Merch5,12/09/22 19:29,1
Merch1,12/09/22 19:29,1
Merch3,12/09/22 19:29,1
Merch6,12/09/22 19:30,5
Merch4,12/09/22 19:30,1
Merch2,12/09/22 19:30,1
Merch5,12/09/22 19:30,5
Merch1,12/09/22 19:30,1
Merch4,12/09/22 19:30,4
Merch3,12/09/22 19:30,1
Merch6,12/09/22 19:30,1
Merch5,12/09/22 19:30,1
Merch2,12/09/22 19:30,3
Merch1,12/09/22 19:30,3
Merch3,12/09/22 19:30,1
Merch4,12/09/22 19:31,1
Merch6,12/09/22 19:31,3
Merch5,12/09/22 19:31,4
Merch2,12/09/22 19:31,1
Merch1,12/09/22 19:31,2
Merch3,12/09/22 19:31,1
Merch4,12/09/22 19:31,1
Merch6,12/09/22 19:31,1
Merch5,12/09/22 19:31,1
Merch2,12/09/22 19:31,1
Merch3,12/09/22 19:31,1
Merch1,12/09/22 19:31,1
Merch6,12/09/22 19:32,1
Merch5,12/09/22 19:32,3
Merch2,12/09/22 19:32,1
Merch4,12/09/22 19:32,1
Merch1,12/09/22 19:32,3
Merch6,12/09/22 19:32,1
Merch3,12/09/22 19:32,1
Merch5,12/09/22 19:32,1
Merch4,12/09/22 19:32,3
Merch2,12/09/22 19:32,2
Merch1,12/09/22 19:32,2
Merch3,12/09/22 19:32,1
Merch4,12/09/22 19:32,1
Merch6,12/09/22 19:33,1
Merch5,12/09/22 19:33,1
Merch2,12/09/22 19:33,5
Merch3,12/09/22 19:33,1
Merch1,12/09/22 19:33,1
Merch4,12/09/22 19:33,5
Merch5,12/09/22 19:33,1
Merch6,12/09/22 19:33,1
Merch2,12/09/22 19:33,1
Merch1,12/09/22 19:33,1
Merch3,12/09/22 19:33,3
Merch4,12/09/22 19:33,4
Merch5,12/09/22 19:33,1
Merch2,12/09/22 19:34,4
Merch6,12/09/22 19:34,2
Merch1,12/09/22 19:34,5
Merch3,12/09/22 19:34,5
Merch4,12/09/22 19:34,1
Merch6,12/09/22 19:34,5
Merch5,12/09/22 19:34,3
Merch2,12/09/22 19:34,5
Merch3,12/09/22 19:34,1
Merch6,12/09/22 19:35,2
Merch4,12/09/22 19:35,1
Merch2,12/09/22 19:35,2
Merch5,12/09/22 19:35,1
Merch3,12/09/22 19:35,1
Merch6,12/09/22 19:35,1
Merch4,12/09/22 19:35,1
Merch2,12/09/22 19:35,1
Merch5,12/09/22 19:35,3
Merch3,12/09/22 19:35,2
Merch1,12/09/22 19:35,1
Merch4,12/09/22 19:36,2
Merch2,12/09/22 19:36,3
Merch6,12/09/22 19:36,2
Merch5,12/09/22 19:36,1
Merch3,12/09/22 19:36,1
Merch4,12/09/22 19:36,5
Merch2,12/09/22 19:36,1
Merch5,12/09/22 19:36,1
Merch6,12/09/22 19:36,2
Merch3,12/09/22 19:36,5
Merch4,12/09/22 19:36,1
Merch5,12/09/22 19:37,1
Merch2,12/09/22 19:37,1
Merch6,12/09/22 19:37,1
Merch3,12/09/22 19:37,1
Merch4,12/09/22 19:37,1
Merch5,12/09/22 19:37,1
Merch2,12/09/22 19:37,1
Merch6,12/09/22 19:37,1
Merch3,12/09/22 19:37,1
Merch4,12/09/22 19:37,2
Merch5,12/09/22 19:37,1
Merch1,12/09/22 19:38,5
Merch2,12/09/22 19:38,3
Merch6,12/09/22 19:38,5
Merch3,12/09/22 19:38,3
Merch5,12/09/22 19:38,2
Merch2,12/09/22 19:38,1
Merch4,12/09/22 19:38,3
Merch6,12/09/22 19:38,1
Merch4,12/09/22 19:38,3
Merch3,12/09/22 19:38,3
Merch2,12/09/22 19:39,1
Merch5,12/09/22 19:39,4
Merch6,12/09/22 19:39,5
Merch4,12/09/22 19:39,1
Merch2,12/09/22 19:39,1
Merch3,12/09/22 19:39,1
Merch5,12/09/22 19:39,1
Merch1,12/09/22 19:39,2
Merch6,12/09/22 19:39,1
Merch4,12/09/22 19:39,1
Merch3,12/09/22 19:40,1
Merch2,12/09/22 19:40,5
Merch6,12/09/22 19:40,1
Merch5,12/09/22 19:40,3
Merch1,12/09/22 19:40,4
Merch4,12/09/22 19:40,1
Merch3,12/09/22 19:40,1
Merch2,12/09/22 19:40,1
Merch5,12/09/22 19:40,1
Merch1,12/09/22 19:40,1
Merch6,12/09/22 19:40,1
Merch4,12/09/22 19:40,2
Merch3,12/09/22 19:40,1
Merch2,12/09/22 19:40,5
Merch6,12/09/22 19:40,1
Merch5,12/09/22 19:41,2
Merch1,12/09/22 19:41,1
Merch4,12/09/22 19:41,1
Merch2,12/09/22 19:41,2
Merch3,12/09/22 19:41,4
Merch6,12/09/22 19:41,1
Merch5,12/09/22 19:41,1
Merch1,12/09/22 19:41,1
Merch4,12/09/22 19:41,1
Merch2,12/09/22 19:41,5
Merch3,12/09/22 19:41,1
Merch6,12/09/22 19:42,1
Merch5,12/09/22 19:42,1
Merch4,12/09/22 19:42,1
Merch1,12/09/22 19:42,1
Merch2,12/09/22 19:42,1
Merch3,12/09/22 19:42,1
Merch6,12/09/22 19:42,1
Merch5,12/09/22 19:42,1
Merch4,12/09/22 19:42,2
Merch1,12/09/22 19:42,1
Merch2,12/09/22 19:42,1
Merch3,12/09/22 19:43,1
Merch5,12/09/22 19:43,1
Merch4,12/09/22 19:43,2
Merch6,12/09/22 19:43,1
Merch1,12/09/22 19:43,1
Merch2,12/09/22 19:43,1
Merch5,12/09/22 19:43,1
Merch3,12/09/22 19:43,1
Merch4,12/09/22 19:43,1
Merch6,12/09/22 19:43,1
Merch1,12/09/22 19:43,2
Merch2,12/09/22 19:44,1
Merch5,12/09/22 19:44,1
Merch4,12/09/22 19:44,1
Merch3,12/09/22 19:44,1
Merch6,12/09/22 19:44,1
Merch1,12/09/22 19:44,4
Merch2,12/09/22 19:44,1
Merch4,12/09/22 19:44,1
Merch5,12/09/22 19:44,5
Merch6,12/09/22 19:44,3
Merch1,12/09/22 19:44,2
Merch3,12/09/22 19:44,1
Merch2,12/09/22 19:44,1
Merch4,12/09/22 19:45,1
Merch5,12/09/22 19:45,1
Merch1,12/09/22 19:45,4
Merch6,12/09/22 19:45,1
Merch3,12/09/22 19:45,1
Merch2,12/09/22 19:45,3
Merch4,12/09/22 19:45,1
Merch6,12/09/22 19:45,1
Merch5,12/09/22 19:45,1
Merch1,12/09/22 19:45,1
Merch3,12/09/22 19:45,1
Merch2,12/09/22 19:46,3
Merch4,12/09/22 19:46,2
Merch5,12/09/22 19:46,3
Merch6,12/09/22 19:46,1
Merch3,12/09/22 19:46,1
Merch1,12/09/22 19:46,3
Merch2,12/09/22 19:46,1
Merch5,12/09/22 19:46,2
Merch4,12/09/22 19:46,1
Merch6,12/09/22 19:46,1
Merch3,12/09/22 19:46,1
Merch1,12/09/22 19:46,1
Merch2,12/09/22 19:46,1
Merch5,12/09/22 19:46,1
Merch6,12/09/22 19:47,1
Merch4,12/09/22 19:47,1
Merch1,12/09/22 19:47,3
Merch3,12/09/22 19:47,1
Merch2,12/09/22 19:47,4
Merch5,12/09/22 19:47,3
Merch6,12/09/22 19:47,4
Merch3,12/09/22 19:47,1
Merch5,12/09/22 19:47,1
Merch1,12/09/22 19:47,2
Merch4,12/09/22 19:47,1
Merch2,12/09/22 19:47,1
Merch4,12/09/22 19:48,3
Merch2,12/09/22 19:48,2
Merch5,12/09/22 19:48,1
Merch3,12/09/22 19:48,1
Merch6,12/09/22 19:48,1
Merch1,12/09/22 19:48,3
Merch2,12/09/22 19:48,1
Merch5,12/09/22 19:48,3
Merch4,12/09/22 19:48,1
Merch3,12/09/22 19:48,1
Merch6,12/09/22 19:48,4
Merch1,12/09/22 19:49,1
Merch2,12/09/22 19:49,1
Merch4,12/09/22 19:49,1
Merch5,12/09/22 19:49,1
Merch6,12/09/22 19:49,1
Merch3,12/09/22 19:49,1
Merch1,12/09/22 19:49,1
Merch2,12/09/22 19:49,2
Merch4,12/09/22 19:49,1
Merch5,12/09/22 19:49,1
Merch6,12/09/22 19:49,1
Merch3,12/09/22 19:49,2
Merch2,12/09/22 19:50,1
Merch1,12/09/22 19:50,1
Merch5,12/09/22 19:50,1
Merch4,12/09/22 19:50,1
Merch6,12/09/22 19:50,1
Merch3,12/09/22 19:50,1
Merch1,12/09/22 19:50,3
Merch2,12/09/22 19:50,1
Merch5,12/09/22 19:50,1
Merch4,12/09/22 19:50,1
Merch1,12/09/22 19:50,3
Merch3,12/09/22 19:50,5
Merch6,12/09/22 19:51,1
Merch2,12/09/22 19:51,1
Merch5,12/09/22 19:51,2
Merch4,12/09/22 19:51,1
Merch3,12/09/22 19:51,1
Merch1,12/09/22 19:51,3
Merch6,12/09/22 19:51,1
Merch5,12/09/22 19:51,1
Merch2,12/09/22 19:51,4
Merch4,12/09/22 19:51,1
Merch1,12/09/22 19:52,1
Merch6,12/09/22 19:52,1
Merch5,12/09/22 19:52,4
Merch3,12/09/22 19:52,1
Merch2,12/09/22 19:52,3
Merch1,12/09/22 19:52,1
Merch4,12/09/22 19:52,1
Merch6,12/09/22 19:52,1
Merch2,12/09/22 19:52,2
Merch3,12/09/22 19:52,1
Merch5,12/09/22 19:52,1
Merch1,12/09/22 19:52,1
Merch4,12/09/22 19:52,4
Merch2,12/09/22 19:53,1
Merch6,12/09/22 19:53,1
Merch3,12/09/22 19:53,3
Merch5,12/09/22 19:53,1
Merch1,12/09/22 19:53,1
Merch4,12/09/22 19:53,1
Merch3,12/09/22 19:53,1
Merch2,12/09/22 19:53,1
Merch6,12/09/22 19:53,1
Merch5,12/09/22 19:53,1
Merch1,12/09/22 19:53,2
Merch3,12/09/22 19:53,1
Merch4,12/09/22 19:54,4
Merch6,12/09/22 19:54,3
Merch2,12/09/22 19:54,4
Merch5,12/09/22 19:54,4
Merch1,12/09/22 19:54,1
Merch6,12/09/22 19:54,1
Merch3,12/09/22 19:54,1
Merch2,12/09/22 19:54,1
Merch4,12/09/22 19:54,1
Merch5,12/09/22 19:54,1
Merch1,12/09/22 19:54,1
Merch6,12/09/22 19:54,1
Merch4,12/09/22 19:55,4
Merch3,12/09/22 19:55,4
Merch2,12/09/22 19:55,1
Merch1,12/09/22 19:55,1
Merch5,12/09/22 19:55,2
Merch6,12/09/22 19:55,1
Merch2,12/09/22 19:55,1
Merch4,12/09/22 19:55,1
Merch3,12/09/22 19:55,1
Merch5,12/09/22 19:55,2
Merch1,12/09/22 19:55,2
Merch6,12/09/22 19:55,1
Merch2,12/09/22 19:56,1
Merch3,12/09/22 19:56,1
Merch5,12/09/22 19:56,1
Merch4,12/09/22 19:56,1
Merch1,12/09/22 19:56,3
Merch6,12/09/22 19:56,3
Merch2,12/09/22 19:56,1
Merch5,12/09/22 19:56,2
Merch3,12/09/22 19:56,1
Merch4,12/09/22 19:56,2
Merch1,12/09/22 19:56,2
Merch6,12/09/22 19:56,5
Merch5,12/09/22 19:57,1
Merch2,12/09/22 19:57,1
Merch1,12/09/22 19:57,3
Merch3,12/09/22 19:57,1
Merch4,12/09/22 19:57,1
Merch6,12/09/22 19:57,1
Merch2,12/09/22 19:57,1
Merch1,12/09/22 19:57,5
Merch5,12/09/22 19:57,1
Merch4,12/09/22 19:57,1
Merch6,12/09/22 19:57,1
Merch3,12/09/22 19:57,1
Merch1,12/09/22 19:58,1
Merch2,12/09/22 19:58,1
Merch4,12/09/22 19:58,1
Merch3,12/09/22 19:58,1
Merch5,12/09/22 19:58,1
Merch6,12/09/22 19:58,1
Merch2,12/09/22 19:58,1
Merch1,12/09/22 19:58,1
Merch6,12/09/22 19:58,1
Merch4,12/09/22 19:58,1
Merch3,12/09/22 19:58,4
Merch5,12/09/22 19:58,1
Merch4,12/09/22 19:59,1
Merch2,12/09/22 19:59,1
Merch1,12/09/22 19:59,1
Merch3,12/09/22 19:59,1
Merch5,12/09/22 19:59,3
Merch6,12/09/22 19:59,1
Merch4,12/09/22 19:59,1
Merch6,12/09/22 19:59,1
Merch2,12/09/22 19:59,1
Merch1,12/09/22 19:59,2
Merch5,12/09/22 19:59,1
Merch3,12/09/22 19:59,1
Merch4,12/09/22 19:59,1
Merch2,12/09/22 20:00,1
Merch5,12/09/22 20:00,1
Merch6,12/09/22 20:00,2
Merch1,12/09/22 20:00,1
Merch3,12/09/22 20:00,3
Merch4,12/09/22 20:00,1
Merch2,12/09/22 20:00,1
Merch1,12/09/22 20:00,1
Merch6,12/09/22 20:00,1
Merch5,12/09/22 20:00,4
Merch3,12/09/22 20:00,1
Merch4,12/09/22 20:00,1
Merch2,12/09/22 20:00,1
Merch1,12/09/22 20:01,1
Merch5,12/09/22 20:01,1
Merch6,12/09/22 20:01,3
Merch3,12/09/22 20:01,1
Merch4,12/09/22 20:01,1
Merch1,12/09/22 20:01,1
Merch2,12/09/22 20:01,1
Merch5,12/09/22 20:01,3
Merch3,12/09/22 20:01,2
Merch6,12/09/22 20:01,3
Merch4,12/09/22 20:01,1
Merch2,12/09/22 20:02,1
Merch5,12/09/22 20:02,1
Merch1,12/09/22 20:02,1
Merch3,12/09/22 20:02,1
Merch6,12/09/22 20:02,1
Merch4,12/09/22 20:02,1
Merch2,12/09/22 20:02,1
Merch1,12/09/22 20:02,1
Merch3,12/09/22 20:02,1
Merch5,12/09/22 20:02,1
Merch6,12/09/22 20:02,1
Merch4,12/09/22 20:02,2
Merch2,12/09/22 20:02,1
Merch1,12/09/22 20:03,5
Merch3,12/09/22 20:03,1
Merch5,12/09/22 20:03,1
Merch4,12/09/22 20:03,3
Merch6,12/09/22 20:03,1
Merch1,12/09/22 20:03,1
Merch2,12/09/22 20:03,1
Merch3,12/09/22 20:03,1
Merch5,12/09/22 20:03,2
Merch6,12/09/22 20:03,1
Merch4,12/09/22 20:03,1
Merch3,12/09/22 20:04,1
Merch2,12/09/22 20:04,1
Merch1,12/09/22 20:04,3
Merch5,12/09/22 20:04,1
Merch6,12/09/22 20:04,1
Merch4,12/09/22 20:04,3
Merch2,12/09/22 20:04,1
Merch1,12/09/22 20:04,1
Merch3,12/09/22 20:04,1
Merch5,12/09/22 20:04,1
Merch6,12/09/22 20:04,1
Merch2,12/09/22 20:04,5
Merch1,12/09/22 20:04,1
Merch4,12/09/22 20:05,4
Merch3,12/09/22 20:05,5
Merch5,12/09/22 20:05,1
Merch6,12/09/22 20:05,1
Merch2,12/09/22 20:05,1
Merch3,12/09/22 20:05,2
Merch4,12/09/22 20:05,5
Merch1,12/09/22 20:05,3
Merch5,12/09/22 20:05,2
Merch6,12/09/22 20:05,1
Merch2,12/09/22 20:05,1
Merch4,12/09/22 20:06,5
Merch3,12/09/22 20:06,1
Merch1,12/09/22 20:06,1
Merch2,12/09/22 20:06,1
Merch6,12/09/22 20:06,1
Merch5,12/09/22 20:06,1
Merch3,12/09/22 20:06,1
Merch4,12/09/22 20:06,1
Merch6,12/09/22 20:06,1
Merch5,12/09/22 20:06,4
Merch1,12/09/22 20:06,1
Merch2,12/09/22 20:06,1
Merch3,12/09/22 20:06,2
Merch4,12/09/22 20:07,1
Merch6,12/09/22 20:07,3
Merch5,12/09/22 20:07,1
Merch1,12/09/22 20:07,2
Merch2,12/09/22 20:07,3
Merch3,12/09/22 20:07,1
Merch4,12/09/22 20:07,2
Merch6,12/09/22 20:07,2
Merch5,12/09/22 20:07,5
Merch2,12/09/22 20:07,4
