Section,ScanTime,Entrance
GeneralPublic,12/09/22 18:57,FALSE
GeneralPublic,12/09/22 18:57,TRUE
GeneralPublic,12/09/22 18:58,TRUE
GeneralPublic,12/09/22 18:58,TRUE
Party,12/09/22 18:58,FALSE
Family,12/09/22 18:58,TRUE
GeneralPublic,12/09/22 18:58,TRUE
GeneralPublic,12/09/22 18:58,TRUE
Family,12/09/22 18:58,TRUE
Party,12/09/22 18:58,TRUE
GeneralPublic,12/09/22 18:58,TRUE
SeasonTicketHolder,12/09/22 18:58,TRUE
Party,12/09/22 18:59,TRUE
GeneralPublic,12/09/22 18:59,FALSE
SeasonTicketHolder,12/09/22 18:59,TRUE
SeasonTicketHolder,12/09/22 18:59,TRUE
GeneralPublic,12/09/22 18:59,TRUE
GeneralPublic,12/09/22 18:59,TRUE
Family,12/09/22 18:59,TRUE
SeasonTicketHolder,12/09/22 18:59,FALSE
GeneralPublic,12/09/22 18:59,TRUE
Family,12/09/22 18:59,TRUE
Visitor,12/09/22 18:59,TRUE
SeasonTicketHolder,12/09/22 19:00,TRUE
Visitor,12/09/22 19:00,TRUE
Family,12/09/22 19:00,TRUE
Visitor,12/09/22 19:00,TRUE
SeasonTicketHolder,12/09/22 19:00,TRUE
GeneralPublic,12/09/22 19:00,TRUE
Family,12/09/22 19:00,TRUE
GeneralPublic,12/09/22 19:00,FALSE
Party,12/09/22 19:00,FALSE
Family,12/09/22 19:00,TRUE
Party,12/09/22 19:00,TRUE
GeneralPublic,12/09/22 19:00,FALSE
SeasonTicketHolder,12/09/22 19:00,TRUE
Family,12/09/22 19:00,TRUE
SeasonTicketHolder,12/09/22 19:00,FALSE
SeasonTicketHolder,12/09/22 19:00,TRUE
Visitor,12/09/22 19:00,TRUE
SeasonTicketHolder,12/09/22 19:00,FALSE
Party,12/09/22 19:00,FALSE
GeneralPublic,12/09/22 19:00,TRUE
SeasonTicketHolder,12/09/22 19:00,TRUE
SeasonTicketHolder,12/09/22 19:01,TRUE
GeneralPublic,12/09/22 19:01,FALSE
GeneralPublic,12/09/22 19:01,FALSE
Party,12/09/22 19:01,TRUE
SeasonTicketHolder,12/09/22 19:01,TRUE
Visitor,12/09/22 19:01,TRUE
GeneralPublic,12/09/22 19:01,TRUE
Party,12/09/22 19:01,FALSE
SeasonTicketHolder,12/09/22 19:01,TRUE
SeasonTicketHolder,12/09/22 19:01,FALSE
GeneralPublic,12/09/22 19:01,TRUE
SeasonTicketHolder,12/09/22 19:01,TRUE
GeneralPublic,12/09/22 19:01,FALSE
Family,12/09/22 19:01,FALSE
Visitor,12/09/22 19:02,FALSE
GeneralPublic,12/09/22 19:02,TRUE
SeasonTicketHolder,12/09/22 19:02,FALSE
SeasonTicketHolder,12/09/22 19:02,TRUE
SeasonTicketHolder,12/09/22 19:02,TRUE
GeneralPublic,12/09/22 19:02,TRUE
GeneralPublic,12/09/22 19:02,TRUE
Family,12/09/22 19:02,FALSE
GeneralPublic,12/09/22 19:02,TRUE
Party,12/09/22 19:02,TRUE
SeasonTicketHolder,12/09/22 19:02,TRUE
Visitor,12/09/22 19:02,TRUE
SeasonTicketHolder,12/09/22 19:03,TRUE
Visitor,12/09/22 19:03,TRUE
SeasonTicketHolder,12/09/22 19:03,FALSE
SeasonTicketHolder,12/09/22 19:03,FALSE
Family,12/09/22 19:03,TRUE
GeneralPublic,12/09/22 19:03,TRUE
Visitor,12/09/22 19:03,TRUE
GeneralPublic,12/09/22 19:03,FALSE
GeneralPublic,12/09/22 19:03,TRUE
Party,12/09/22 19:03,FALSE
SeasonTicketHolder,12/09/22 19:03,TRUE
SeasonTicketHolder,12/09/22 19:03,TRUE
GeneralPublic,12/09/22 19:03,FALSE
Family,12/09/22 19:03,TRUE
Party,12/09/22 19:03,TRUE
Party,12/09/22 19:04,TRUE
GeneralPublic,12/09/22 19:04,FALSE
SeasonTicketHolder,12/09/22 19:04,TRUE
GeneralPublic,12/09/22 19:04,TRUE
SeasonTicketHolder,12/09/22 19:04,TRUE
GeneralPublic,12/09/22 19:04,FALSE
SeasonTicketHolder,12/09/22 19:04,TRUE
GeneralPublic,12/09/22 19:04,TRUE
GeneralPublic,12/09/22 19:04,TRUE
Family,12/09/22 19:04,TRUE
SeasonTicketHolder,12/09/22 19:04,TRUE
Party,12/09/22 19:04,TRUE
Visitor,12/09/22 19:04,TRUE
GeneralPublic,12/09/22 19:04,TRUE
SeasonTicketHolder,12/09/22 19:05,TRUE
SeasonTicketHolder,12/09/22 19:05,TRUE
Family,12/09/22 19:05,TRUE
SeasonTicketHolder,12/09/22 19:05,TRUE
Visitor,12/09/22 19:05,FALSE
Party,12/09/22 19:05,FALSE
SeasonTicketHolder,12/09/22 19:05,TRUE
Party,12/09/22 19:05,TRUE
GeneralPublic,12/09/22 19:05,TRUE
GeneralPublic,12/09/22 19:05,TRUE
SeasonTicketHolder,12/09/22 19:05,TRUE
SeasonTicketHolder,12/09/22 19:05,TRUE
Family,12/09/22 19:05,FALSE
SeasonTicketHolder,12/09/22 19:05,TRUE
Visitor,12/09/22 19:05,TRUE
GeneralPublic,12/09/22 19:05,TRUE
Party,12/09/22 19:05,TRUE
Family,12/09/22 19:05,TRUE
Party,12/09/22 19:05,TRUE
GeneralPublic,12/09/22 19:05,TRUE
GeneralPublic,12/09/22 19:05,TRUE
Party,12/09/22 19:05,TRUE
GeneralPublic,12/09/22 19:06,TRUE
Party,12/09/22 19:06,TRUE
GeneralPublic,12/09/22 19:06,FALSE
GeneralPublic,12/09/22 19:06,TRUE
SeasonTicketHolder,12/09/22 19:06,TRUE
SeasonTicketHolder,12/09/22 19:06,TRUE
GeneralPublic,12/09/22 19:06,TRUE
GeneralPublic,12/09/22 19:06,TRUE
Visitor,12/09/22 19:06,TRUE
SeasonTicketHolder,12/09/22 19:06,TRUE
SeasonTicketHolder,12/09/22 19:06,TRUE
Party,12/09/22 19:06,TRUE
SeasonTicketHolder,12/09/22 19:06,TRUE
GeneralPublic,12/09/22 19:06,FALSE
SeasonTicketHolder,12/09/22 19:06,TRUE
GeneralPublic,12/09/22 19:06,TRUE
SeasonTicketHolder,12/09/22 19:06,TRUE
GeneralPublic,12/09/22 19:06,TRUE
GeneralPublic,12/09/22 19:06,TRUE
Family,12/09/22 19:07,TRUE
Family,12/09/22 19:07,TRUE
SeasonTicketHolder,12/09/22 19:07,TRUE
GeneralPublic,12/09/22 19:07,TRUE
SeasonTicketHolder,12/09/22 19:07,TRUE
GeneralPublic,12/09/22 19:07,TRUE
Visitor,12/09/22 19:07,TRUE
Party,12/09/22 19:07,TRUE
GeneralPublic,12/09/22 19:07,TRUE
SeasonTicketHolder,12/09/22 19:07,TRUE
Party,12/09/22 19:07,TRUE
SeasonTicketHolder,12/09/22 19:07,FALSE
Party,12/09/22 19:07,TRUE
SeasonTicketHolder,12/09/22 19:07,TRUE
Family,12/09/22 19:07,TRUE
Party,12/09/22 19:07,TRUE
GeneralPublic,12/09/22 19:07,TRUE
Party,12/09/22 19:07,TRUE
SeasonTicketHolder,12/09/22 19:07,TRUE
SeasonTicketHolder,12/09/22 19:07,TRUE
Family,12/09/22 19:07,TRUE
Family,12/09/22 19:07,TRUE
SeasonTicketHolder,12/09/22 19:07,TRUE
GeneralPublic,12/09/22 19:07,TRUE
SeasonTicketHolder,12/09/22 19:07,TRUE
SeasonTicketHolder,12/09/22 19:08,TRUE
GeneralPublic,12/09/22 19:08,TRUE
SeasonTicketHolder,12/09/22 19:08,TRUE
Visitor,12/09/22 19:08,TRUE
GeneralPublic,12/09/22 19:08,TRUE
GeneralPublic,12/09/22 19:08,TRUE
Party,12/09/22 19:08,TRUE
Visitor,12/09/22 19:08,TRUE
SeasonTicketHolder,12/09/22 19:08,TRUE
SeasonTicketHolder,12/09/22 19:08,TRUE
Family,12/09/22 19:08,TRUE
GeneralPublic,12/09/22 19:08,TRUE
Family,12/09/22 19:08,TRUE
Visitor,12/09/22 19:08,TRUE
SeasonTicketHolder,12/09/22 19:08,TRUE
SeasonTicketHolder,12/09/22 19:08,FALSE
Family,12/09/22 19:08,TRUE
SeasonTicketHolder,12/09/22 19:08,TRUE
GeneralPublic,12/09/22 19:08,TRUE
Family,12/09/22 19:08,TRUE
GeneralPublic,12/09/22 19:08,TRUE
Party,12/09/22 19:08,FALSE
SeasonTicketHolder,12/09/22 19:09,TRUE
SeasonTicketHolder,12/09/22 19:09,TRUE
SeasonTicketHolder,12/09/22 19:09,TRUE
GeneralPublic,12/09/22 19:09,TRUE
Visitor,12/09/22 19:09,TRUE
GeneralPublic,12/09/22 19:09,TRUE
SeasonTicketHolder,12/09/22 19:09,TRUE
Party,12/09/22 19:09,TRUE
SeasonTicketHolder,12/09/22 19:09,TRUE
GeneralPublic,12/09/22 19:09,TRUE
SeasonTicketHolder,12/09/22 19:09,TRUE
GeneralPublic,12/09/22 19:09,TRUE
SeasonTicketHolder,12/09/22 19:09,TRUE
Family,12/09/22 19:09,TRUE
Family,12/09/22 19:09,TRUE
Visitor,12/09/22 19:09,TRUE
GeneralPublic,12/09/22 19:09,TRUE
GeneralPublic,12/09/22 19:09,TRUE
GeneralPublic,12/09/22 19:09,TRUE
Family,12/09/22 19:09,TRUE
Family,12/09/22 19:10,FALSE
Visitor,12/09/22 19:10,TRUE
SeasonTicketHolder,12/09/22 19:10,TRUE
SeasonTicketHolder,12/09/22 19:10,TRUE
Party,12/09/22 19:10,TRUE
Party,12/09/22 19:10,TRUE
SeasonTicketHolder,12/09/22 19:10,TRUE
GeneralPublic,12/09/22 19:10,TRUE
GeneralPublic,12/09/22 19:10,TRUE
SeasonTicketHolder,12/09/22 19:10,TRUE
SeasonTicketHolder,12/09/22 19:10,TRUE
GeneralPublic,12/09/22 19:10,TRUE
Family,12/09/22 19:10,TRUE
Party,12/09/22 19:10,TRUE
GeneralPublic,12/09/22 19:10,TRUE
GeneralPublic,12/09/22 19:10,TRUE
Visitor,12/09/22 19:10,TRUE
Visitor,12/09/22 19:10,TRUE
GeneralPublic,12/09/22 19:10,TRUE
Party,12/09/22 19:10,FALSE
Family,12/09/22 19:10,TRUE
GeneralPublic,12/09/22 19:11,TRUE
SeasonTicketHolder,12/09/22 19:11,FALSE
Visitor,12/09/22 19:11,TRUE
SeasonTicketHolder,12/09/22 19:11,FALSE
SeasonTicketHolder,12/09/22 19:11,TRUE
SeasonTicketHolder,12/09/22 19:11,TRUE
SeasonTicketHolder,12/09/22 19:11,TRUE
SeasonTicketHolder,12/09/22 19:11,TRUE
GeneralPublic,12/09/22 19:11,TRUE
SeasonTicketHolder,12/09/22 19:11,TRUE
Party,12/09/22 19:11,TRUE
Visitor,12/09/22 19:11,TRUE
Party,12/09/22 19:11,TRUE
GeneralPublic,12/09/22 19:11,TRUE
SeasonTicketHolder,12/09/22 19:11,TRUE
Visitor,12/09/22 19:11,TRUE
GeneralPublic,12/09/22 19:11,TRUE
Party,12/09/22 19:11,TRUE
Party,12/09/22 19:12,FALSE
Family,12/09/22 19:12,TRUE
Family,12/09/22 19:12,TRUE
Party,12/09/22 19:12,TRUE
SeasonTicketHolder,12/09/22 19:12,TRUE
GeneralPublic,12/09/22 19:12,FALSE
Party,12/09/22 19:12,FALSE
Family,12/09/22 19:12,FALSE
GeneralPublic,12/09/22 19:12,FALSE
Party,12/09/22 19:12,TRUE
GeneralPublic,12/09/22 19:12,TRUE
Family,12/09/22 19:12,TRUE
Family,12/09/22 19:12,TRUE
Party,12/09/22 19:12,TRUE
SeasonTicketHolder,12/09/22 19:12,TRUE
Visitor,12/09/22 19:12,TRUE
Party,12/09/22 19:12,TRUE
SeasonTicketHolder,12/09/22 19:12,TRUE
Family,12/09/22 19:12,TRUE
GeneralPublic,12/09/22 19:13,TRUE
Visitor,12/09/22 19:13,TRUE
GeneralPublic,12/09/22 19:13,TRUE
SeasonTicketHolder,12/09/22 19:13,TRUE
GeneralPublic,12/09/22 19:13,TRUE
GeneralPublic,12/09/22 19:13,TRUE
Party,12/09/22 19:13,TRUE
Family,12/09/22 19:13,TRUE
SeasonTicketHolder,12/09/22 19:13,TRUE
SeasonTicketHolder,12/09/22 19:13,TRUE
SeasonTicketHolder,12/09/22 19:13,TRUE
Party,12/09/22 19:13,TRUE
Family,12/09/22 19:13,TRUE
Visitor,12/09/22 19:13,TRUE
GeneralPublic,12/09/22 19:13,TRUE
Family,12/09/22 19:13,TRUE
GeneralPublic,12/09/22 19:13,FALSE
SeasonTicketHolder,12/09/22 19:13,TRUE
SeasonTicketHolder,12/09/22 19:13,FALSE
Party,12/09/22 19:13,FALSE
Party,12/09/22 19:13,FALSE
Party,12/09/22 19:13,TRUE
GeneralPublic,12/09/22 19:14,TRUE
SeasonTicketHolder,12/09/22 19:14,TRUE
Party,12/09/22 19:14,TRUE
GeneralPublic,12/09/22 19:14,TRUE
Family,12/09/22 19:14,TRUE
SeasonTicketHolder,12/09/22 19:14,TRUE
Party,12/09/22 19:14,TRUE
GeneralPublic,12/09/22 19:14,TRUE
Visitor,12/09/22 19:14,TRUE
SeasonTicketHolder,12/09/22 19:14,TRUE
Family,12/09/22 19:14,TRUE
Family,12/09/22 19:14,TRUE
GeneralPublic,12/09/22 19:14,TRUE
Visitor,12/09/22 19:14,TRUE
SeasonTicketHolder,12/09/22 19:14,TRUE
Visitor,12/09/22 19:14,TRUE
GeneralPublic,12/09/22 19:14,FALSE
SeasonTicketHolder,12/09/22 19:14,TRUE
Visitor,12/09/22 19:14,TRUE
SeasonTicketHolder,12/09/22 19:14,TRUE
GeneralPublic,12/09/22 19:14,TRUE
Family,12/09/22 19:14,TRUE
Visitor,12/09/22 19:14,TRUE
Family,12/09/22 19:14,TRUE
GeneralPublic,12/09/22 19:14,TRUE
Family,12/09/22 19:14,TRUE
Party,12/09/22 19:14,TRUE
SeasonTicketHolder,12/09/22 19:14,TRUE
Visitor,12/09/22 19:14,FALSE
SeasonTicketHolder,12/09/22 19:14,TRUE
SeasonTicketHolder,12/09/22 19:15,TRUE
Visitor,12/09/22 19:15,TRUE
Visitor,12/09/22 19:15,FALSE
SeasonTicketHolder,12/09/22 19:15,TRUE
Family,12/09/22 19:15,TRUE
GeneralPublic,12/09/22 19:15,TRUE
Party,12/09/22 19:15,TRUE
Visitor,12/09/22 19:15,TRUE
Party,12/09/22 19:15,FALSE
SeasonTicketHolder,12/09/22 19:15,TRUE
Family,12/09/22 19:15,TRUE
Visitor,12/09/22 19:15,TRUE
Family,12/09/22 19:15,TRUE
GeneralPublic,12/09/22 19:15,TRUE
GeneralPublic,12/09/22 19:15,TRUE
GeneralPublic,12/09/22 19:15,TRUE
SeasonTicketHolder,12/09/22 19:15,TRUE
GeneralPublic,12/09/22 19:15,TRUE
GeneralPublic,12/09/22 19:15,TRUE
Family,12/09/22 19:15,TRUE
Family,12/09/22 19:15,TRUE
GeneralPublic,12/09/22 19:15,TRUE
Party,12/09/22 19:15,TRUE
SeasonTicketHolder,12/09/22 19:15,TRUE
GeneralPublic,12/09/22 19:15,TRUE
SeasonTicketHolder,12/09/22 19:15,TRUE
GeneralPublic,12/09/22 19:15,TRUE
GeneralPublic,12/09/22 19:15,TRUE
Family,12/09/22 19:16,TRUE
Family,12/09/22 19:16,TRUE
GeneralPublic,12/09/22 19:16,TRUE
GeneralPublic,12/09/22 19:16,TRUE
GeneralPublic,12/09/22 19:16,TRUE
GeneralPublic,12/09/22 19:16,TRUE
SeasonTicketHolder,12/09/22 19:16,TRUE
SeasonTicketHolder,12/09/22 19:16,TRUE
GeneralPublic,12/09/22 19:16,TRUE
SeasonTicketHolder,12/09/22 19:16,TRUE
Family,12/09/22 19:16,TRUE
GeneralPublic,12/09/22 19:16,TRUE
GeneralPublic,12/09/22 19:16,FALSE
GeneralPublic,12/09/22 19:16,TRUE
Family,12/09/22 19:16,TRUE
Visitor,12/09/22 19:16,TRUE
Party,12/09/22 19:16,TRUE
GeneralPublic,12/09/22 19:16,FALSE
Visitor,12/09/22 19:16,TRUE
GeneralPublic,12/09/22 19:16,TRUE
Family,12/09/22 19:16,TRUE
SeasonTicketHolder,12/09/22 19:16,TRUE
Family,12/09/22 19:16,TRUE
Party,12/09/22 19:16,FALSE
Family,12/09/22 19:16,FALSE
SeasonTicketHolder,12/09/22 19:16,FALSE
SeasonTicketHolder,12/09/22 19:16,TRUE
Family,12/09/22 19:16,TRUE
Family,12/09/22 19:16,TRUE
SeasonTicketHolder,12/09/22 19:17,TRUE
Party,12/09/22 19:17,TRUE
Party,12/09/22 19:17,TRUE
SeasonTicketHolder,12/09/22 19:17,FALSE
Visitor,12/09/22 19:17,TRUE
Family,12/09/22 19:17,TRUE
GeneralPublic,12/09/22 19:17,TRUE
Family,12/09/22 19:17,TRUE
Party,12/09/22 19:17,FALSE
GeneralPublic,12/09/22 19:17,TRUE
SeasonTicketHolder,12/09/22 19:17,TRUE
GeneralPublic,12/09/22 19:17,TRUE
Party,12/09/22 19:17,TRUE
Party,12/09/22 19:17,TRUE
Party,12/09/22 19:17,FALSE
Family,12/09/22 19:17,TRUE
Party,12/09/22 19:17,TRUE
Family,12/09/22 19:17,TRUE
SeasonTicketHolder,12/09/22 19:17,TRUE
GeneralPublic,12/09/22 19:17,TRUE
Visitor,12/09/22 19:17,TRUE
Family,12/09/22 19:17,TRUE
SeasonTicketHolder,12/09/22 19:17,TRUE
SeasonTicketHolder,12/09/22 19:17,FALSE
Party,12/09/22 19:17,FALSE
GeneralPublic,12/09/22 19:17,TRUE
Family,12/09/22 19:17,TRUE
SeasonTicketHolder,12/09/22 19:17,TRUE
Party,12/09/22 19:17,TRUE
SeasonTicketHolder,12/09/22 19:17,TRUE
Party,12/09/22 19:17,TRUE
Family,12/09/22 19:17,TRUE
SeasonTicketHolder,12/09/22 19:17,TRUE
Party,12/09/22 19:18,FALSE
Family,12/09/22 19:18,TRUE
GeneralPublic,12/09/22 19:18,TRUE
Family,12/09/22 19:18,TRUE
SeasonTicketHolder,12/09/22 19:18,TRUE
Party,12/09/22 19:18,TRUE
Party,12/09/22 19:18,TRUE
SeasonTicketHolder,12/09/22 19:18,TRUE
SeasonTicketHolder,12/09/22 19:18,TRUE
Visitor,12/09/22 19:18,TRUE
Visitor,12/09/22 19:18,TRUE
Visitor,12/09/22 19:18,TRUE
GeneralPublic,12/09/22 19:18,TRUE
SeasonTicketHolder,12/09/22 19:18,TRUE
Party,12/09/22 19:18,FALSE
GeneralPublic,12/09/22 19:18,FALSE
SeasonTicketHolder,12/09/22 19:18,TRUE
SeasonTicketHolder,12/09/22 19:18,TRUE
Family,12/09/22 19:18,TRUE
Family,12/09/22 19:18,FALSE
GeneralPublic,12/09/22 19:18,TRUE
Party,12/09/22 19:18,TRUE
Party,12/09/22 19:18,TRUE
Party,12/09/22 19:18,TRUE
Party,12/09/22 19:18,TRUE
GeneralPublic,12/09/22 19:18,TRUE
Visitor,12/09/22 19:18,TRUE
Visitor,12/09/22 19:18,TRUE
SeasonTicketHolder,12/09/22 19:18,TRUE
Family,12/09/22 19:18,TRUE
SeasonTicketHolder,12/09/22 19:18,TRUE
Family,12/09/22 19:18,TRUE
SeasonTicketHolder,12/09/22 19:18,TRUE
Party,12/09/22 19:18,TRUE
GeneralPublic,12/09/22 19:18,TRUE
GeneralPublic,12/09/22 19:18,TRUE
GeneralPublic,12/09/22 19:18,TRUE
GeneralPublic,12/09/22 19:18,TRUE
Visitor,12/09/22 19:18,FALSE
SeasonTicketHolder,12/09/22 19:18,TRUE
GeneralPublic,12/09/22 19:18,FALSE
GeneralPublic,12/09/22 19:18,TRUE
GeneralPublic,12/09/22 19:18,TRUE
Family,12/09/22 19:18,TRUE
Family,12/09/22 19:19,FALSE
SeasonTicketHolder,12/09/22 19:19,TRUE
Family,12/09/22 19:19,TRUE
Party,12/09/22 19:19,TRUE
Family,12/09/22 19:19,TRUE
SeasonTicketHolder,12/09/22 19:19,TRUE
SeasonTicketHolder,12/09/22 19:19,FALSE
Family,12/09/22 19:19,TRUE
GeneralPublic,12/09/22 19:19,TRUE
Party,12/09/22 19:19,TRUE
Party,12/09/22 19:19,TRUE
Visitor,12/09/22 19:19,TRUE
GeneralPublic,12/09/22 19:19,TRUE
Visitor,12/09/22 19:19,TRUE
SeasonTicketHolder,12/09/22 19:19,TRUE
Party,12/09/22 19:19,TRUE
SeasonTicketHolder,12/09/22 19:19,TRUE
Family,12/09/22 19:19,TRUE
GeneralPublic,12/09/22 19:19,FALSE
GeneralPublic,12/09/22 19:19,TRUE
SeasonTicketHolder,12/09/22 19:19,TRUE
SeasonTicketHolder,12/09/22 19:19,TRUE
Visitor,12/09/22 19:19,TRUE
Family,12/09/22 19:19,FALSE
SeasonTicketHolder,12/09/22 19:19,TRUE
SeasonTicketHolder,12/09/22 19:19,TRUE
Party,12/09/22 19:19,FALSE
Family,12/09/22 19:20,FALSE
Visitor,12/09/22 19:20,TRUE
Family,12/09/22 19:20,TRUE
SeasonTicketHolder,12/09/22 19:20,TRUE
Family,12/09/22 19:20,TRUE
Family,12/09/22 19:20,TRUE
SeasonTicketHolder,12/09/22 19:20,TRUE
Party,12/09/22 19:20,FALSE
SeasonTicketHolder,12/09/22 19:20,TRUE
GeneralPublic,12/09/22 19:20,TRUE
GeneralPublic,12/09/22 19:20,TRUE
Party,12/09/22 19:20,TRUE
SeasonTicketHolder,12/09/22 19:20,TRUE
Family,12/09/22 19:20,TRUE
GeneralPublic,12/09/22 19:20,FALSE
SeasonTicketHolder,12/09/22 19:20,TRUE
Party,12/09/22 19:20,TRUE
Family,12/09/22 19:20,TRUE
SeasonTicketHolder,12/09/22 19:20,TRUE
GeneralPublic,12/09/22 19:20,TRUE
GeneralPublic,12/09/22 19:20,TRUE
Party,12/09/22 19:20,TRUE
SeasonTicketHolder,12/09/22 19:20,TRUE
SeasonTicketHolder,12/09/22 19:20,FALSE
SeasonTicketHolder,12/09/22 19:20,TRUE
Family,12/09/22 19:20,TRUE
SeasonTicketHolder,12/09/22 19:20,TRUE
Party,12/09/22 19:20,FALSE
GeneralPublic,12/09/22 19:20,TRUE
SeasonTicketHolder,12/09/22 19:20,TRUE
Party,12/09/22 19:20,FALSE
SeasonTicketHolder,12/09/22 19:20,TRUE
Party,12/09/22 19:20,TRUE
SeasonTicketHolder,12/09/22 19:20,FALSE
GeneralPublic,12/09/22 19:20,TRUE
Visitor,12/09/22 19:20,TRUE
Visitor,12/09/22 19:20,TRUE
SeasonTicketHolder,12/09/22 19:20,TRUE
GeneralPublic,12/09/22 19:20,TRUE
GeneralPublic,12/09/22 19:20,FALSE
GeneralPublic,12/09/22 19:20,TRUE
SeasonTicketHolder,12/09/22 19:20,FALSE
GeneralPublic,12/09/22 19:21,TRUE
Family,12/09/22 19:21,TRUE
GeneralPublic,12/09/22 19:21,TRUE
SeasonTicketHolder,12/09/22 19:21,TRUE
GeneralPublic,12/09/22 19:21,TRUE
GeneralPublic,12/09/22 19:21,TRUE
GeneralPublic,12/09/22 19:21,TRUE
Family,12/09/22 19:21,TRUE
Visitor,12/09/22 19:21,TRUE
Party,12/09/22 19:21,FALSE
GeneralPublic,12/09/22 19:21,TRUE
Party,12/09/22 19:21,TRUE
GeneralPublic,12/09/22 19:21,TRUE
Party,12/09/22 19:21,TRUE
SeasonTicketHolder,12/09/22 19:21,TRUE
GeneralPublic,12/09/22 19:21,TRUE
Party,12/09/22 19:21,FALSE
SeasonTicketHolder,12/09/22 19:21,TRUE
GeneralPublic,12/09/22 19:21,TRUE
Family,12/09/22 19:21,TRUE
GeneralPublic,12/09/22 19:21,TRUE
Party,12/09/22 19:21,TRUE
SeasonTicketHolder,12/09/22 19:21,TRUE
SeasonTicketHolder,12/09/22 19:21,TRUE
SeasonTicketHolder,12/09/22 19:21,TRUE
Family,12/09/22 19:21,TRUE
Family,12/09/22 19:21,TRUE
GeneralPublic,12/09/22 19:21,TRUE
GeneralPublic,12/09/22 19:21,TRUE
Party,12/09/22 19:21,TRUE
SeasonTicketHolder,12/09/22 19:21,TRUE
Visitor,12/09/22 19:21,FALSE
SeasonTicketHolder,12/09/22 19:21,TRUE
Party,12/09/22 19:21,TRUE
SeasonTicketHolder,12/09/22 19:22,TRUE
Party,12/09/22 19:22,FALSE
Family,12/09/22 19:22,TRUE
Family,12/09/22 19:22,TRUE
Party,12/09/22 19:22,TRUE
Party,12/09/22 19:22,TRUE
Visitor,12/09/22 19:22,FALSE
GeneralPublic,12/09/22 19:22,TRUE
Family,12/09/22 19:22,TRUE
Party,12/09/22 19:22,FALSE
GeneralPublic,12/09/22 19:22,TRUE
Family,12/09/22 19:22,FALSE
GeneralPublic,12/09/22 19:22,TRUE
Party,12/09/22 19:22,TRUE
Visitor,12/09/22 19:22,FALSE
Party,12/09/22 19:22,TRUE
SeasonTicketHolder,12/09/22 19:22,TRUE
Visitor,12/09/22 19:22,TRUE
Party,12/09/22 19:22,TRUE
