Agent,ScanTime,SeatingSection
GateA_TicketAgent2,12/09/22 18:36,120
GateA_TicketAgent1,12/09/22 18:37,127
GateB_TicketAgent1,12/09/22 18:37,135
GateD_TicketAgent1,12/09/22 18:37,137
GateB_TicketAgent1,12/09/22 18:37,112
GateC_TicketAgent1,12/09/22 18:37,129
GateB_TicketAgent1,12/09/22 18:37,110
GateD_TicketAgent1,12/09/22 18:37,134
GateA_TicketAgent1,12/09/22 18:37,119
GateA_TicketAgent2,12/09/22 18:38,100
GateC_TicketAgent1,12/09/22 18:38,136
GateD_TicketAgent1,12/09/22 18:38,129
GateB_TicketAgent1,12/09/22 18:38,137
GateD_TicketAgent1,12/09/22 18:38,135
GateB_TicketAgent1,12/09/22 18:38,100
GateA_TicketAgent1,12/09/22 18:39,128
GateB_TicketAgent1,12/09/22 18:39,133
GateD_TicketAgent1,12/09/22 18:39,127
GateC_TicketAgent1,12/09/22 18:39,102
GateB_TicketAgent1,12/09/22 18:40,136
GateA_TicketAgent1,12/09/22 18:40,125
GateA_TicketAgent2,12/09/22 18:40,129
GateA_TicketAgent1,12/09/22 18:40,123
GateB_TicketAgent1,12/09/22 18:40,136
GateA_TicketAgent2,12/09/22 18:40,102
GateB_TicketAgent1,12/09/22 18:41,121
GateA_TicketAgent1,12/09/22 18:42,120
GateD_TicketAgent1,12/09/22 18:42,129
GateD_TicketAgent1,12/09/22 18:42,130
GateA_TicketAgent1,12/09/22 18:42,121
GateA_TicketAgent2,12/09/22 18:42,113
GateB_TicketAgent1,12/09/22 18:42,123
GateD_TicketAgent1,12/09/22 18:42,129
GateC_TicketAgent1,12/09/22 18:42,102
GateA_TicketAgent1,12/09/22 18:43,122
GateC_TicketAgent1,12/09/22 18:43,113
GateB_TicketAgent2,12/09/22 18:43,100
GateB_TicketAgent3,12/09/22 18:43,110
GateB_TicketAgent1,12/09/22 18:43,109
GateA_TicketAgent1,12/09/22 18:43,118
GateD_TicketAgent1,12/09/22 18:43,128
GateC_TicketAgent1,12/09/22 18:43,134
GateB_TicketAgent1,12/09/22 18:44,139
GateD_TicketAgent1,12/09/22 18:44,141
GateB_TicketAgent1,12/09/22 18:44,140
GateD_TicketAgent1,12/09/22 18:44,104
GateA_TicketAgent1,12/09/22 18:45,114
GateA_TicketAgent2,12/09/22 18:45,109
GateA_TicketAgent1,12/09/22 18:45,122
GateC_TicketAgent1,12/09/22 18:45,109
GateA_TicketAgent2,12/09/22 18:45,118
GateB_TicketAgent1,12/09/22 18:45,112
GateB_TicketAgent2,12/09/22 18:45,135
GateA_TicketAgent3,12/09/22 18:45,124
GateA_TicketAgent1,12/09/22 18:45,109
GateD_TicketAgent1,12/09/22 18:45,134
GateA_TicketAgent2,12/09/22 18:45,121
GateB_TicketAgent3,12/09/22 18:45,113
GateB_TicketAgent1,12/09/22 18:45,110
GateA_TicketAgent1,12/09/22 18:45,122
GateC_TicketAgent1,12/09/22 18:45,107
GateA_TicketAgent2,12/09/22 18:45,131
GateC_TicketAgent2,12/09/22 18:45,136
GateA_TicketAgent3,12/09/22 18:46,139
GateB_TicketAgent1,12/09/22 18:46,138
GateC_TicketAgent3,12/09/22 18:46,133
GateA_TicketAgent2,12/09/22 18:46,129
GateC_TicketAgent1,12/09/22 18:46,136
GateA_TicketAgent1,12/09/22 18:46,118
GateA_TicketAgent2,12/09/22 18:46,101
GateB_TicketAgent1,12/09/22 18:46,105
GateA_TicketAgent3,12/09/22 18:46,121
GateC_TicketAgent2,12/09/22 18:46,140
GateA_TicketAgent1,12/09/22 18:46,116
GateB_TicketAgent3,12/09/22 18:46,111
GateA_TicketAgent1,12/09/22 18:46,116
GateC_TicketAgent1,12/09/22 18:46,107
GateA_TicketAgent2,12/09/22 18:46,118
GateB_TicketAgent1,12/09/22 18:46,140
GateA_TicketAgent2,12/09/22 18:46,110
GateA_TicketAgent1,12/09/22 18:46,118
GateA_TicketAgent3,12/09/22 18:46,125
GateC_TicketAgent2,12/09/22 18:46,107
GateB_TicketAgent2,12/09/22 18:46,105
GateC_TicketAgent1,12/09/22 18:46,113
GateB_TicketAgent3,12/09/22 18:46,138
GateA_TicketAgent2,12/09/22 18:46,116
GateB_TicketAgent1,12/09/22 18:46,111
GateA_TicketAgent1,12/09/22 18:46,122
GateA_TicketAgent3,12/09/22 18:46,117
GateA_TicketAgent1,12/09/22 18:46,124
GateD_TicketAgent1,12/09/22 18:46,116
GateA_TicketAgent2,12/09/22 18:46,105
GateC_TicketAgent1,12/09/22 18:47,110
GateC_TicketAgent2,12/09/22 18:47,110
GateA_TicketAgent2,12/09/22 18:47,121
GateC_TicketAgent3,12/09/22 18:47,137
GateA_TicketAgent3,12/09/22 18:47,138
GateD_TicketAgent1,12/09/22 18:47,104
GateA_TicketAgent1,12/09/22 18:47,130
GateB_TicketAgent1,12/09/22 18:47,105
GateA_TicketAgent1,12/09/22 18:47,114
GateB_TicketAgent2,12/09/22 18:47,111
GateA_TicketAgent2,12/09/22 18:47,117
GateB_TicketAgent3,12/09/22 18:47,134
GateD_TicketAgent1,12/09/22 18:47,102
GateB_TicketAgent1,12/09/22 18:47,134
GateA_TicketAgent3,12/09/22 18:47,128
GateC_TicketAgent1,12/09/22 18:47,136
GateA_TicketAgent1,12/09/22 18:47,122
GateB_TicketAgent1,12/09/22 18:47,132
GateC_TicketAgent2,12/09/22 18:47,106
GateB_TicketAgent2,12/09/22 18:47,115
GateC_TicketAgent3,12/09/22 18:47,133
GateB_TicketAgent3,12/09/22 18:47,136
GateB_TicketAgent1,12/09/22 18:47,101
GateA_TicketAgent1,12/09/22 18:47,131
GateD_TicketAgent1,12/09/22 18:48,128
GateC_TicketAgent1,12/09/22 18:48,102
GateA_TicketAgent2,12/09/22 18:48,109
GateD_TicketAgent2,12/09/22 18:48,123
GateA_TicketAgent3,12/09/22 18:48,118
GateD_TicketAgent3,12/09/22 18:48,111
GateD_TicketAgent1,12/09/22 18:48,106
GateB_TicketAgent1,12/09/22 18:48,121
GateD_TicketAgent1,12/09/22 18:48,131
GateD_TicketAgent2,12/09/22 18:48,105
GateB_TicketAgent2,12/09/22 18:48,102
GateB_TicketAgent2,12/09/22 18:48,102
GateD_TicketAgent2,12/09/22 18:48,128
GateB_TicketAgent1,12/09/22 18:48,134
GateA_TicketAgent1,12/09/22 18:48,126
GateD_TicketAgent1,12/09/22 18:48,111
GateD_TicketAgent3,12/09/22 18:48,130
GateC_TicketAgent1,12/09/22 18:48,119
GateB_TicketAgent3,12/09/22 18:48,135
GateC_TicketAgent2,12/09/22 18:48,102
GateB_TicketAgent1,12/09/22 18:48,141
GateA_TicketAgent2,12/09/22 18:48,125
GateA_TicketAgent1,12/09/22 18:48,129
GateD_TicketAgent1,12/09/22 18:49,130
GateC_TicketAgent1,12/09/22 18:49,106
GateA_TicketAgent2,12/09/22 18:49,125
GateD_TicketAgent2,12/09/22 18:49,118
GateB_TicketAgent1,12/09/22 18:49,139
GateA_TicketAgent1,12/09/22 18:49,133
GateD_TicketAgent1,12/09/22 18:49,117
GateA_TicketAgent3,12/09/22 18:49,103
GateC_TicketAgent1,12/09/22 18:49,104
GateD_TicketAgent3,12/09/22 18:49,108
GateA_TicketAgent1,12/09/22 18:49,115
GateA_TicketAgent2,12/09/22 18:49,103
GateD_TicketAgent2,12/09/22 18:49,104
GateD_TicketAgent1,12/09/22 18:49,129
GateA_TicketAgent1,12/09/22 18:49,140
GateA_TicketAgent2,12/09/22 18:49,121
GateD_TicketAgent2,12/09/22 18:49,123
GateB_TicketAgent1,12/09/22 18:49,138
GateD_TicketAgent3,12/09/22 18:49,129
GateC_TicketAgent1,12/09/22 18:49,120
GateC_TicketAgent2,12/09/22 18:49,104
GateB_TicketAgent2,12/09/22 18:49,132
GateD_TicketAgent1,12/09/22 18:49,131
GateC_TicketAgent3,12/09/22 18:49,140
GateB_TicketAgent3,12/09/22 18:49,136
GateA_TicketAgent1,12/09/22 18:49,134
GateB_TicketAgent1,12/09/22 18:49,104
GateA_TicketAgent2,12/09/22 18:49,106
GateC_TicketAgent1,12/09/22 18:49,109
GateA_TicketAgent3,12/09/22 18:49,119
GateD_TicketAgent2,12/09/22 18:49,129
GateB_TicketAgent2,12/09/22 18:50,103
GateA_TicketAgent2,12/09/22 18:50,119
GateA_TicketAgent1,12/09/22 18:50,119
GateB_TicketAgent1,12/09/22 18:50,141
GateA_TicketAgent2,12/09/22 18:50,106
GateA_TicketAgent3,12/09/22 18:50,138
GateD_TicketAgent1,12/09/22 18:50,128
GateA_TicketAgent1,12/09/22 18:50,119
GateC_TicketAgent1,12/09/22 18:50,141
GateA_TicketAgent2,12/09/22 18:50,124
GateB_TicketAgent1,12/09/22 18:50,127
GateA_TicketAgent1,12/09/22 18:50,122
GateC_TicketAgent1,12/09/22 18:50,108
GateB_TicketAgent3,12/09/22 18:50,133
GateA_TicketAgent2,12/09/22 18:50,126
GateB_TicketAgent2,12/09/22 18:50,125
GateD_TicketAgent1,12/09/22 18:50,105
GateB_TicketAgent1,12/09/22 18:50,110
GateA_TicketAgent1,12/09/22 18:50,118
GateA_TicketAgent2,12/09/22 18:50,112
GateC_TicketAgent1,12/09/22 18:50,138
GateD_TicketAgent2,12/09/22 18:50,131
GateB_TicketAgent2,12/09/22 18:50,124
GateC_TicketAgent2,12/09/22 18:50,110
GateA_TicketAgent3,12/09/22 18:50,102
GateB_TicketAgent1,12/09/22 18:50,101
GateB_TicketAgent2,12/09/22 18:51,124
GateC_TicketAgent1,12/09/22 18:51,129
GateA_TicketAgent1,12/09/22 18:51,125
GateA_TicketAgent3,12/09/22 18:51,117
GateB_TicketAgent3,12/09/22 18:51,112
GateA_TicketAgent2,12/09/22 18:51,123
GateA_TicketAgent1,12/09/22 18:51,114
GateC_TicketAgent2,12/09/22 18:51,109
GateD_TicketAgent1,12/09/22 18:51,100
GateA_TicketAgent2,12/09/22 18:51,127
GateC_TicketAgent3,12/09/22 18:51,110
GateA_TicketAgent3,12/09/22 18:51,118
GateB_TicketAgent1,12/09/22 18:51,130
GateD_TicketAgent2,12/09/22 18:51,110
GateA_TicketAgent1,12/09/22 18:51,129
GateA_TicketAgent2,12/09/22 18:51,120
GateC_TicketAgent1,12/09/22 18:51,132
GateA_TicketAgent1,12/09/22 18:51,127
GateD_TicketAgent3,12/09/22 18:51,112
GateA_TicketAgent3,12/09/22 18:51,137
GateC_TicketAgent2,12/09/22 18:51,140
GateA_TicketAgent2,12/09/22 18:51,139
GateD_TicketAgent1,12/09/22 18:51,129
GateC_TicketAgent3,12/09/22 18:51,105
GateA_TicketAgent1,12/09/22 18:51,118
GateC_TicketAgent1,12/09/22 18:51,140
GateD_TicketAgent2,12/09/22 18:51,134
GateB_TicketAgent1,12/09/22 18:51,136
GateA_TicketAgent2,12/09/22 18:51,116
GateC_TicketAgent2,12/09/22 18:51,112
GateD_TicketAgent1,12/09/22 18:51,106
GateB_TicketAgent2,12/09/22 18:51,102
GateA_TicketAgent1,12/09/22 18:51,125
GateB_TicketAgent3,12/09/22 18:51,136
GateB_TicketAgent1,12/09/22 18:51,110
GateA_TicketAgent3,12/09/22 18:51,119
GateD_TicketAgent2,12/09/22 18:51,101
GateC_TicketAgent1,12/09/22 18:52,135
GateB_TicketAgent1,12/09/22 18:52,133
GateC_TicketAgent2,12/09/22 18:52,102
GateA_TicketAgent2,12/09/22 18:52,120
GateC_TicketAgent3,12/09/22 18:52,110
GateD_TicketAgent1,12/09/22 18:52,108
GateC_TicketAgent1,12/09/22 18:52,105
GateA_TicketAgent1,12/09/22 18:52,114
GateC_TicketAgent1,12/09/22 18:52,100
GateA_TicketAgent2,12/09/22 18:52,127
GateB_TicketAgent1,12/09/22 18:52,107
GateA_TicketAgent3,12/09/22 18:52,123
GateA_TicketAgent1,12/09/22 18:52,101
GateB_TicketAgent2,12/09/22 18:52,118
GateC_TicketAgent1,12/09/22 18:52,139
GateB_TicketAgent3,12/09/22 18:52,136
GateC_TicketAgent2,12/09/22 18:52,140
GateA_TicketAgent1,12/09/22 18:52,118
GateD_TicketAgent1,12/09/22 18:52,106
GateB_TicketAgent1,12/09/22 18:52,138
GateC_TicketAgent3,12/09/22 18:52,129
GateC_TicketAgent1,12/09/22 18:52,141
GateA_TicketAgent1,12/09/22 18:52,125
GateC_TicketAgent2,12/09/22 18:52,122
GateC_TicketAgent1,12/09/22 18:53,135
GateD_TicketAgent1,12/09/22 18:53,126
GateA_TicketAgent2,12/09/22 18:53,118
GateA_TicketAgent3,12/09/22 18:53,124
GateB_TicketAgent1,12/09/22 18:53,134
GateC_TicketAgent2,12/09/22 18:53,130
GateD_TicketAgent2,12/09/22 18:53,118
GateA_TicketAgent1,12/09/22 18:53,107
GateC_TicketAgent3,12/09/22 18:53,136
GateD_TicketAgent1,12/09/22 18:53,128
GateC_TicketAgent1,12/09/22 18:53,138
GateA_TicketAgent1,12/09/22 18:53,119
GateC_TicketAgent2,12/09/22 18:53,140
GateB_TicketAgent1,12/09/22 18:53,137
GateC_TicketAgent2,12/09/22 18:53,132
GateA_TicketAgent2,12/09/22 18:53,125
GateC_TicketAgent1,12/09/22 18:53,113
GateA_TicketAgent1,12/09/22 18:53,125
GateA_TicketAgent3,12/09/22 18:53,125
GateC_TicketAgent3,12/09/22 18:53,138
GateD_TicketAgent1,12/09/22 18:53,125
GateA_TicketAgent2,12/09/22 18:53,127
GateC_TicketAgent1,12/09/22 18:53,139
GateB_TicketAgent2,12/09/22 18:53,108
GateB_TicketAgent1,12/09/22 18:53,107
GateB_TicketAgent3,12/09/22 18:53,136
GateD_TicketAgent1,12/09/22 18:53,121
GateB_TicketAgent2,12/09/22 18:53,109
GateB_TicketAgent1,12/09/22 18:53,112
GateA_TicketAgent1,12/09/22 18:53,118
GateB_TicketAgent3,12/09/22 18:53,117
GateA_TicketAgent2,12/09/22 18:54,109
GateD_TicketAgent2,12/09/22 18:54,131
GateA_TicketAgent3,12/09/22 18:54,119
GateC_TicketAgent1,12/09/22 18:54,135
GateC_TicketAgent2,12/09/22 18:54,134
GateA_TicketAgent1,12/09/22 18:54,112
GateD_TicketAgent1,12/09/22 18:54,127
GateC_TicketAgent1,12/09/22 18:54,137
GateA_TicketAgent2,12/09/22 18:54,128
GateC_TicketAgent3,12/09/22 18:54,136
GateA_TicketAgent1,12/09/22 18:54,119
GateC_TicketAgent1,12/09/22 18:54,112
GateC_TicketAgent2,12/09/22 18:54,133
GateA_TicketAgent2,12/09/22 18:54,114
GateB_TicketAgent1,12/09/22 18:54,100
GateA_TicketAgent3,12/09/22 18:54,116
GateC_TicketAgent3,12/09/22 18:54,122
GateA_TicketAgent1,12/09/22 18:54,116
GateB_TicketAgent3,12/09/22 18:54,101
GateA_TicketAgent2,12/09/22 18:54,118
GateB_TicketAgent1,12/09/22 18:54,136
GateB_TicketAgent2,12/09/22 18:54,135
GateA_TicketAgent1,12/09/22 18:54,119
GateA_TicketAgent3,12/09/22 18:54,105
GateB_TicketAgent2,12/09/22 18:54,134
GateB_TicketAgent1,12/09/22 18:54,123
GateC_TicketAgent1,12/09/22 18:54,139
GateB_TicketAgent3,12/09/22 18:54,111
GateD_TicketAgent1,12/09/22 18:54,131
GateA_TicketAgent2,12/09/22 18:54,136
GateB_TicketAgent1,12/09/22 18:54,112
GateD_TicketAgent2,12/09/22 18:54,110
GateB_TicketAgent2,12/09/22 18:55,139
GateA_TicketAgent1,12/09/22 18:55,120
GateB_TicketAgent3,12/09/22 18:55,100
GateB_TicketAgent1,12/09/22 18:55,103
GateC_TicketAgent1,12/09/22 18:55,140
GateB_TicketAgent2,12/09/22 18:55,111
GateA_TicketAgent2,12/09/22 18:55,128
GateB_TicketAgent1,12/09/22 18:55,127
GateC_TicketAgent2,12/09/22 18:55,134
GateC_TicketAgent1,12/09/22 18:55,136
GateC_TicketAgent3,12/09/22 18:55,127
GateC_TicketAgent1,12/09/22 18:55,103
GateD_TicketAgent1,12/09/22 18:55,110
GateA_TicketAgent1,12/09/22 18:55,126
GateC_TicketAgent2,12/09/22 18:55,136
GateA_TicketAgent2,12/09/22 18:55,124
GateB_TicketAgent1,12/09/22 18:55,118
GateA_TicketAgent3,12/09/22 18:55,120
GateD_TicketAgent2,12/09/22 18:55,128
GateA_TicketAgent1,12/09/22 18:55,117
GateC_TicketAgent1,12/09/22 18:55,141
GateC_TicketAgent2,12/09/22 18:55,135
GateD_TicketAgent1,12/09/22 18:55,130
GateA_TicketAgent2,12/09/22 18:55,119
GateC_TicketAgent3,12/09/22 18:55,107
GateC_TicketAgent1,12/09/22 18:55,105
GateD_TicketAgent3,12/09/22 18:55,121
GateA_TicketAgent1,12/09/22 18:55,137
GateA_TicketAgent3,12/09/22 18:55,124
GateC_TicketAgent2,12/09/22 18:56,107
GateA_TicketAgent1,12/09/22 18:56,123
GateC_TicketAgent1,12/09/22 18:56,136
GateB_TicketAgent1,12/09/22 18:56,134
GateD_TicketAgent1,12/09/22 18:56,116
GateA_TicketAgent1,12/09/22 18:56,117
GateD_TicketAgent2,12/09/22 18:56,105
GateB_TicketAgent2,12/09/22 18:56,124
GateD_TicketAgent3,12/09/22 18:56,106
GateA_TicketAgent2,12/09/22 18:56,122
GateB_TicketAgent3,12/09/22 18:56,109
GateB_TicketAgent1,12/09/22 18:56,129
GateC_TicketAgent2,12/09/22 18:56,141
GateA_TicketAgent3,12/09/22 18:56,101
GateA_TicketAgent1,12/09/22 18:56,112
GateC_TicketAgent3,12/09/22 18:56,133
GateB_TicketAgent1,12/09/22 18:56,135
GateC_TicketAgent1,12/09/22 18:56,130
GateA_TicketAgent2,12/09/22 18:56,130
GateD_TicketAgent1,12/09/22 18:56,136
GateD_TicketAgent2,12/09/22 18:56,129
GateB_TicketAgent2,12/09/22 18:56,115
GateD_TicketAgent1,12/09/22 18:56,109
GateB_TicketAgent1,12/09/22 18:57,102
GateD_TicketAgent2,12/09/22 18:57,128
GateA_TicketAgent1,12/09/22 18:57,128
GateB_TicketAgent3,12/09/22 18:57,120
GateC_TicketAgent1,12/09/22 18:57,137
GateC_TicketAgent2,12/09/22 18:57,134
GateA_TicketAgent2,12/09/22 18:57,117
GateD_TicketAgent3,12/09/22 18:57,128
GateC_TicketAgent3,12/09/22 18:57,103
GateB_TicketAgent1,12/09/22 18:57,105
GateA_TicketAgent1,12/09/22 18:57,124
GateD_TicketAgent1,12/09/22 18:57,133
GateB_TicketAgent2,12/09/22 18:57,108
GateA_TicketAgent3,12/09/22 18:57,135
GateD_TicketAgent2,12/09/22 18:57,107
GateA_TicketAgent1,12/09/22 18:57,123
GateB_TicketAgent3,12/09/22 18:57,112
GateD_TicketAgent3,12/09/22 18:57,140
GateA_TicketAgent2,12/09/22 18:57,101
GateD_TicketAgent1,12/09/22 18:57,129
GateB_TicketAgent1,12/09/22 18:57,110
GateA_TicketAgent1,12/09/22 18:57,117
GateA_TicketAgent2,12/09/22 18:57,123
GateD_TicketAgent1,12/09/22 18:57,109
GateA_TicketAgent3,12/09/22 18:57,140
GateC_TicketAgent1,12/09/22 18:57,103
GateD_TicketAgent2,12/09/22 18:57,131
GateA_TicketAgent1,12/09/22 18:57,112
GateB_TicketAgent2,12/09/22 18:57,141
GateB_TicketAgent1,12/09/22 18:57,101
GateA_TicketAgent2,12/09/22 18:57,116
GateD_TicketAgent1,12/09/22 18:57,127
GateA_TicketAgent3,12/09/22 18:57,129
GateD_TicketAgent2,12/09/22 18:57,101
GateA_TicketAgent1,12/09/22 18:57,120
GateB_TicketAgent2,12/09/22 18:57,122
GateC_TicketAgent1,12/09/22 18:57,130
GateC_TicketAgent2,12/09/22 18:58,133
GateD_TicketAgent3,12/09/22 18:58,133
GateA_TicketAgent2,12/09/22 18:58,133
GateD_TicketAgent1,12/09/22 18:58,116
GateB_TicketAgent3,12/09/22 18:58,109
GateA_TicketAgent1,12/09/22 18:58,118
GateB_TicketAgent1,12/09/22 18:58,124
GateA_TicketAgent2,12/09/22 18:58,124
GateD_TicketAgent1,12/09/22 18:58,111
GateA_TicketAgent3,12/09/22 18:58,128
GateD_TicketAgent2,12/09/22 18:58,129
GateC_TicketAgent1,12/09/22 18:58,141
GateB_TicketAgent1,12/09/22 18:58,109
GateC_TicketAgent2,12/09/22 18:58,108
GateB_TicketAgent2,12/09/22 18:58,120
GateC_TicketAgent3,12/09/22 18:58,118
GateC_TicketAgent1,12/09/22 18:58,137
GateB_TicketAgent1,12/09/22 18:58,105
GateC_TicketAgent2,12/09/22 18:58,112
GateB_TicketAgent2,12/09/22 18:58,125
GateB_TicketAgent3,12/09/22 18:58,114
GateC_TicketAgent1,12/09/22 18:58,101
GateC_TicketAgent2,12/09/22 18:58,103
GateB_TicketAgent1,12/09/22 18:58,111
GateC_TicketAgent1,12/09/22 18:58,107
GateC_TicketAgent2,12/09/22 18:59,116
GateA_TicketAgent1,12/09/22 18:59,115
GateA_TicketAgent2,12/09/22 18:59,117
GateA_TicketAgent3,12/09/22 18:59,135
GateA_TicketAgent1,12/09/22 18:59,119
GateC_TicketAgent2,12/09/22 18:59,128
GateC_TicketAgent1,12/09/22 18:59,106
GateD_TicketAgent1,12/09/22 18:59,123
GateB_TicketAgent2,12/09/22 18:59,112
GateC_TicketAgent3,12/09/22 18:59,121
GateB_TicketAgent1,12/09/22 18:59,110
GateA_TicketAgent3,12/09/22 18:59,118
GateC_TicketAgent1,12/09/22 18:59,105
GateB_TicketAgent3,12/09/22 18:59,113
GateA_TicketAgent2,12/09/22 18:59,100
GateD_TicketAgent2,12/09/22 18:59,126
GateA_TicketAgent1,12/09/22 18:59,119
GateC_TicketAgent2,12/09/22 18:59,106
GateA_TicketAgent2,12/09/22 18:59,130
GateA_TicketAgent1,12/09/22 18:59,106
GateC_TicketAgent1,12/09/22 18:59,136
GateB_TicketAgent1,12/09/22 18:59,134
GateA_TicketAgent3,12/09/22 18:59,118
GateD_TicketAgent1,12/09/22 18:59,111
GateB_TicketAgent2,12/09/22 18:59,110
GateC_TicketAgent3,12/09/22 18:59,103
GateA_TicketAgent1,12/09/22 19:00,107
GateC_TicketAgent1,12/09/22 19:00,102
GateA_TicketAgent2,12/09/22 19:00,115
GateB_TicketAgent1,12/09/22 19:00,123
GateA_TicketAgent3,12/09/22 19:00,124
GateB_TicketAgent2,12/09/22 19:00,110
GateA_TicketAgent1,12/09/22 19:00,118
GateB_TicketAgent3,12/09/22 19:00,110
GateB_TicketAgent1,12/09/22 19:00,105
GateC_TicketAgent1,12/09/22 19:00,106
GateA_TicketAgent2,12/09/22 19:00,137
GateB_TicketAgent1,12/09/22 19:00,118
GateB_TicketAgent2,12/09/22 19:00,134
GateC_TicketAgent2,12/09/22 19:00,110
GateC_TicketAgent3,12/09/22 19:00,140
GateB_TicketAgent3,12/09/22 19:00,110
GateB_TicketAgent1,12/09/22 19:00,137
GateA_TicketAgent1,12/09/22 19:00,116
GateD_TicketAgent1,12/09/22 19:00,135
GateA_TicketAgent2,12/09/22 19:00,114
GateB_TicketAgent1,12/09/22 19:00,109
GateA_TicketAgent3,12/09/22 19:00,130
GateD_TicketAgent2,12/09/22 19:00,121
GateB_TicketAgent2,12/09/22 19:00,116
GateA_TicketAgent1,12/09/22 19:00,114
GateC_TicketAgent1,12/09/22 19:00,101
GateD_TicketAgent3,12/09/22 19:00,136
GateD_TicketAgent1,12/09/22 19:00,121
GateC_TicketAgent2,12/09/22 19:00,136
GateB_TicketAgent3,12/09/22 19:00,112
GateA_TicketAgent2,12/09/22 19:00,117
GateC_TicketAgent3,12/09/22 19:00,136
GateB_TicketAgent1,12/09/22 19:01,107
GateA_TicketAgent3,12/09/22 19:01,111
GateD_TicketAgent2,12/09/22 19:01,110
GateA_TicketAgent1,12/09/22 19:01,130
GateB_TicketAgent2,12/09/22 19:01,132
GateC_TicketAgent2,12/09/22 19:01,134
GateA_TicketAgent1,12/09/22 19:01,115
GateB_TicketAgent1,12/09/22 19:01,111
GateC_TicketAgent3,12/09/22 19:01,135
GateC_TicketAgent1,12/09/22 19:01,128
GateB_TicketAgent3,12/09/22 19:01,118
GateB_TicketAgent2,12/09/22 19:01,104
GateA_TicketAgent1,12/09/22 19:01,124
GateB_TicketAgent1,12/09/22 19:01,135
GateC_TicketAgent1,12/09/22 19:01,113
GateA_TicketAgent2,12/09/22 19:01,117
GateD_TicketAgent2,12/09/22 19:01,109
GateA_TicketAgent3,12/09/22 19:01,116
GateD_TicketAgent1,12/09/22 19:01,141
GateD_TicketAgent3,12/09/22 19:01,127
GateC_TicketAgent2,12/09/22 19:01,105
GateA_TicketAgent1,12/09/22 19:01,117
GateA_TicketAgent2,12/09/22 19:01,135
GateD_TicketAgent1,12/09/22 19:01,122
GateD_TicketAgent2,12/09/22 19:01,110
GateA_TicketAgent1,12/09/22 19:01,102
GateA_TicketAgent2,12/09/22 19:01,125
GateC_TicketAgent1,12/09/22 19:01,106
GateA_TicketAgent3,12/09/22 19:01,122
GateA_TicketAgent1,12/09/22 19:01,130
GateC_TicketAgent2,12/09/22 19:01,105
GateA_TicketAgent1,12/09/22 19:01,115
GateA_TicketAgent2,12/09/22 19:02,118
GateC_TicketAgent1,12/09/22 19:02,129
GateA_TicketAgent3,12/09/22 19:02,105
GateC_TicketAgent3,12/09/22 19:02,133
GateA_TicketAgent1,12/09/22 19:02,131
GateA_TicketAgent2,12/09/22 19:02,121
GateD_TicketAgent1,12/09/22 19:02,123
GateB_TicketAgent1,12/09/22 19:02,112
GateD_TicketAgent2,12/09/22 19:02,106
GateB_TicketAgent2,12/09/22 19:02,102
