ConcessionStand,TransactionID,TransactionTime,Item,Quantity
Concession2,10280921,12/09/22 18:50,Beer,1
Concession2,10280921,12/09/22 18:50,Hamburger,1
Concession2,10280921,12/09/22 18:50,PizzaSlice,1
Concession2,10280921,12/09/22 18:50,Fries,1
Concession2,10280922,12/09/22 18:50,BottledWater,1
Concession3,10280923,12/09/22 18:50,SoftDrink,1
Concession3,10280923,12/09/22 18:50,Beer,1
Concession1,10280924,12/09/22 18:51,SoftDrink,2
Concession1,10280924,12/09/22 18:51,Hotdog,1
Concession1,10280924,12/09/22 18:51,Hamburger,1
Concession1,10280924,12/09/22 18:51,PizzaSlice,1
Concession3,10280925,12/09/22 18:51,Beer,2
Concession3,10280925,12/09/22 18:51,Hamburger,1
Concession3,10280925,12/09/22 18:51,PizzaSlice,1
Concession8,10280926,12/09/22 18:51,Hotdog,1
Concession8,10280926,12/09/22 18:51,Fries,1
Concession2,10280927,12/09/22 18:51,BottledWater,1
Concession2,10280927,12/09/22 18:51,SoftDrink,1
Concession2,10280927,12/09/22 18:51,Beer,1
Concession1,10280928,12/09/22 18:51,BottledWater,2
Concession1,10280928,12/09/22 18:51,SoftDrink,2
Concession1,10280928,12/09/22 18:51,Hotdog,2
Concession1,10280928,12/09/22 18:51,Hamburger,1
Concession1,10280928,12/09/22 18:51,PizzaSlice,1
Concession1,10280928,12/09/22 18:51,Fries,1
Concession5,10280929,12/09/22 18:51,Hamburger,1
Concession5,10280929,12/09/22 18:51,PizzaSlice,2
Concession6,10280930,12/09/22 18:51,BottledWater,1
Concession6,10280930,12/09/22 18:51,Beer,1
Concession6,10280930,12/09/22 18:51,Hotdog,3
Concession3,10280931,12/09/22 18:52,Beer,1
Concession3,10280932,12/09/22 18:52,BottledWater,3
Concession3,10280932,12/09/22 18:52,SoftDrink,2
Concession3,10280932,12/09/22 18:52,Hamburger,1
Concession3,10280932,12/09/22 18:52,PizzaSlice,1
Concession3,10280932,12/09/22 18:52,Fries,1
Concession1,10280933,12/09/22 18:52,BottledWater,1
Concession1,10280933,12/09/22 18:52,SoftDrink,3
Concession1,10280933,12/09/22 18:52,Hotdog,1
Concession1,10280933,12/09/22 18:52,Hamburger,1
Concession1,10280933,12/09/22 18:52,PizzaSlice,2
Concession1,10280933,12/09/22 18:52,Fries,2
Concession3,10280934,12/09/22 18:52,BottledWater,3
Concession3,10280934,12/09/22 18:52,Beer,2
Concession3,10280934,12/09/22 18:52,Hamburger,3
Concession3,10280934,12/09/22 18:52,PizzaSlice,1
Concession6,10280935,12/09/22 18:52,BottledWater,2
Concession6,10280935,12/09/22 18:52,Beer,1
Concession3,10280936,12/09/22 18:52,Hotdog,1
Concession3,10280936,12/09/22 18:52,Hamburger,1
Concession3,10280936,12/09/22 18:52,PizzaSlice,1
Concession3,10280936,12/09/22 18:52,Fries,1
Concession6,10280937,12/09/22 18:52,BottledWater,1
Concession6,10280937,12/09/22 18:52,Beer,1
Concession6,10280937,12/09/22 18:52,Hotdog,1
Concession6,10280937,12/09/22 18:52,PizzaSlice,1
Concession6,10280937,12/09/22 18:52,Fries,1
Concession6,10280938,12/09/22 18:53,Beer,1
Concession6,10280938,12/09/22 18:53,Hotdog,1
Concession5,10280939,12/09/22 18:53,BottledWater,3
Concession5,10280939,12/09/22 18:53,SoftDrink,1
Concession5,10280939,12/09/22 18:53,Hotdog,2
Concession5,10280939,12/09/22 18:53,PizzaSlice,1
Concession5,10280939,12/09/22 18:53,Fries,2
Concession3,10280940,12/09/22 18:53,BottledWater,2
Concession3,10280940,12/09/22 18:53,Beer,1
Concession1,10280941,12/09/22 18:53,BottledWater,1
Concession1,10280941,12/09/22 18:53,SoftDrink,2
Concession1,10280941,12/09/22 18:53,Beer,1
Concession1,10280941,12/09/22 18:53,Hamburger,1
Concession1,10280941,12/09/22 18:53,PizzaSlice,1
Concession5,10280942,12/09/22 18:53,Beer,2
Concession5,10280942,12/09/22 18:53,Hotdog,1
Concession5,10280942,12/09/22 18:53,Fries,1
Concession4,10280943,12/09/22 18:53,BottledWater,1
Concession4,10280943,12/09/22 18:53,Beer,1
Concession5,10280944,12/09/22 18:53,BottledWater,1
Concession2,10280945,12/09/22 18:53,BottledWater,1
Concession2,10280945,12/09/22 18:53,SoftDrink,1
Concession2,10280945,12/09/22 18:53,Hamburger,1
Concession2,10280945,12/09/22 18:53,PizzaSlice,1
Concession2,10280945,12/09/22 18:53,Fries,1
Concession4,10280946,12/09/22 18:54,BottledWater,1
Concession4,10280946,12/09/22 18:54,Beer,1
Concession4,10280946,12/09/22 18:54,Hotdog,1
Concession4,10280946,12/09/22 18:54,Hamburger,3
Concession4,10280946,12/09/22 18:54,PizzaSlice,1
Concession4,10280946,12/09/22 18:54,Fries,1
Concession1,10280947,12/09/22 18:54,BottledWater,1
Concession1,10280947,12/09/22 18:54,Hamburger,1
Concession1,10280947,12/09/22 18:54,PizzaSlice,1
Concession1,10280947,12/09/22 18:54,Fries,1
Concession1,10280948,12/09/22 18:54,BottledWater,1
Concession1,10280948,12/09/22 18:54,Beer,1
Concession5,10280949,12/09/22 18:54,BottledWater,1
Concession5,10280949,12/09/22 18:54,Beer,1
Concession5,10280949,12/09/22 18:54,Hotdog,1
Concession5,10280949,12/09/22 18:54,Hamburger,1
Concession5,10280949,12/09/22 18:54,PizzaSlice,5
Concession5,10280949,12/09/22 18:54,Fries,1
Concession8,10280950,12/09/22 18:54,BottledWater,1
Concession8,10280950,12/09/22 18:54,Hotdog,1
Concession8,10280950,12/09/22 18:54,Hamburger,1
Concession8,10280950,12/09/22 18:54,PizzaSlice,2
Concession8,10280950,12/09/22 18:54,Fries,1
Concession6,10280952,12/09/22 18:54,SoftDrink,1
Concession6,10280952,12/09/22 18:54,Beer,1
Concession6,10280952,12/09/22 18:54,PizzaSlice,1
Concession7,10280953,12/09/22 18:54,BottledWater,1
Concession7,10280953,12/09/22 18:54,Beer,2
Concession7,10280953,12/09/22 18:54,Hotdog,1
Concession4,10280954,12/09/22 18:54,Beer,2
Concession5,10280955,12/09/22 18:54,BottledWater,2
Concession5,10280955,12/09/22 18:54,SoftDrink,1
Concession5,10280955,12/09/22 18:54,Beer,1
Concession2,10280956,12/09/22 18:54,BottledWater,1
Concession2,10280956,12/09/22 18:54,Beer,2
Concession2,10280956,12/09/22 18:54,Hotdog,4
Concession2,10280956,12/09/22 18:54,Hamburger,1
Concession2,10280956,12/09/22 18:54,PizzaSlice,1
Concession2,10280956,12/09/22 18:54,Fries,1
Concession6,10280957,12/09/22 18:54,BottledWater,1
Concession6,10280957,12/09/22 18:54,SoftDrink,1
Concession6,10280957,12/09/22 18:54,Beer,1
Concession6,10280957,12/09/22 18:54,Hamburger,2
Concession6,10280957,12/09/22 18:54,PizzaSlice,1
Concession1,10280958,12/09/22 18:54,BottledWater,2
Concession1,10280958,12/09/22 18:54,SoftDrink,1
Concession5,10280959,12/09/22 18:54,Beer,1
Concession4,10280960,12/09/22 18:54,BottledWater,1
Concession4,10280960,12/09/22 18:54,Beer,2
Concession4,10280960,12/09/22 18:54,Hotdog,1
Concession4,10280960,12/09/22 18:54,Hamburger,1
Concession4,10280960,12/09/22 18:54,PizzaSlice,1
Concession4,10280960,12/09/22 18:54,Fries,1
Concession5,10280961,12/09/22 18:55,BottledWater,1
Concession5,10280961,12/09/22 18:55,Beer,2
Concession2,10280962,12/09/22 18:55,BottledWater,1
Concession1,10280964,12/09/22 18:55,BottledWater,1
Concession1,10280964,12/09/22 18:55,Beer,2
Concession1,10280964,12/09/22 18:55,Hotdog,1
Concession1,10280964,12/09/22 18:55,Hamburger,1
Concession1,10280964,12/09/22 18:55,PizzaSlice,1
Concession1,10280964,12/09/22 18:55,Fries,2
Concession7,10280965,12/09/22 18:55,Hamburger,1
Concession7,10280965,12/09/22 18:55,PizzaSlice,2
Concession1,10280966,12/09/22 18:55,BottledWater,1
Concession1,10280966,12/09/22 18:55,SoftDrink,1
Concession1,10280966,12/09/22 18:55,Hotdog,1
Concession1,10280966,12/09/22 18:55,Hamburger,1
Concession1,10280966,12/09/22 18:55,PizzaSlice,1
Concession3,10280967,12/09/22 18:55,SoftDrink,1
Concession3,10280967,12/09/22 18:55,Hotdog,2
Concession3,10280967,12/09/22 18:55,Hamburger,1
Concession3,10280967,12/09/22 18:55,PizzaSlice,1
Concession3,10280967,12/09/22 18:55,Fries,1
Concession6,10280968,12/09/22 18:55,BottledWater,2
Concession6,10280968,12/09/22 18:55,Beer,2
Concession6,10280968,12/09/22 18:55,PizzaSlice,2
Concession7,10280969,12/09/22 18:55,BottledWater,1
Concession7,10280969,12/09/22 18:55,Beer,1
Concession7,10280969,12/09/22 18:55,Hotdog,1
Concession5,10280970,12/09/22 18:55,BottledWater,1
Concession5,10280970,12/09/22 18:55,Hotdog,2
Concession5,10280970,12/09/22 18:55,Hamburger,1
Concession5,10280970,12/09/22 18:55,PizzaSlice,1
Concession5,10280970,12/09/22 18:55,Fries,1
Concession2,10280971,12/09/22 18:56,SoftDrink,1
Concession5,10280972,12/09/22 18:56,BottledWater,1
Concession5,10280972,12/09/22 18:56,SoftDrink,1
Concession5,10280972,12/09/22 18:56,Beer,1
Concession5,10280972,12/09/22 18:56,Hotdog,2
Concession5,10280973,12/09/22 18:56,BottledWater,1
Concession5,10280973,12/09/22 18:56,Hotdog,1
Concession5,10280973,12/09/22 18:56,Hamburger,1
Concession8,10280974,12/09/22 18:56,BottledWater,1
Concession1,10280975,12/09/22 18:56,BottledWater,1
Concession1,10280975,12/09/22 18:56,SoftDrink,1
Concession1,10280975,12/09/22 18:56,Hotdog,5
Concession1,10280975,12/09/22 18:56,PizzaSlice,3
Concession1,10280975,12/09/22 18:56,Fries,1
Concession2,10280976,12/09/22 18:56,BottledWater,2
Concession2,10280976,12/09/22 18:56,Beer,1
Concession3,10280977,12/09/22 18:56,BottledWater,3
Concession3,10280977,12/09/22 18:56,Beer,1
Concession4,10280978,12/09/22 18:56,BottledWater,1
Concession4,10280978,12/09/22 18:56,Beer,1
Concession4,10280978,12/09/22 18:56,Hotdog,4
Concession4,10280978,12/09/22 18:56,Hamburger,1
Concession4,10280978,12/09/22 18:56,PizzaSlice,1
Concession4,10280978,12/09/22 18:56,Fries,1
Concession1,10280979,12/09/22 18:56,SoftDrink,1
Concession6,10280980,12/09/22 18:56,BottledWater,1
Concession6,10280980,12/09/22 18:56,SoftDrink,2
Concession6,10280980,12/09/22 18:56,Beer,1
Concession6,10280980,12/09/22 18:56,Hotdog,1
Concession6,10280980,12/09/22 18:56,Hamburger,1
Concession4,10280981,12/09/22 18:56,BottledWater,2
Concession4,10280981,12/09/22 18:56,Beer,1
Concession2,10280982,12/09/22 18:56,BottledWater,1
Concession2,10280982,12/09/22 18:56,Beer,1
Concession2,10280982,12/09/22 18:56,Hotdog,1
Concession2,10280982,12/09/22 18:56,Hamburger,1
Concession8,10280983,12/09/22 18:56,BottledWater,1
Concession8,10280983,12/09/22 18:56,SoftDrink,1
Concession8,10280983,12/09/22 18:56,Hotdog,1
Concession8,10280983,12/09/22 18:56,Hamburger,1
Concession8,10280983,12/09/22 18:56,PizzaSlice,1
Concession8,10280983,12/09/22 18:56,Fries,1
Concession2,10280984,12/09/22 18:56,BottledWater,1
Concession2,10280984,12/09/22 18:56,SoftDrink,1
Concession2,10280984,12/09/22 18:56,Beer,1
Concession5,10280985,12/09/22 18:56,BottledWater,2
Concession5,10280985,12/09/22 18:56,SoftDrink,2
Concession5,10280985,12/09/22 18:56,Hotdog,2
Concession5,10280985,12/09/22 18:56,Hamburger,1
Concession5,10280985,12/09/22 18:56,PizzaSlice,1
Concession5,10280985,12/09/22 18:56,Fries,3
Concession8,10280986,12/09/22 18:56,Beer,2
Concession8,10280986,12/09/22 18:56,Hotdog,2
Concession8,10280986,12/09/22 18:56,Fries,1
Concession1,10280987,12/09/22 18:56,BottledWater,1
Concession1,10280987,12/09/22 18:56,Hotdog,1
Concession1,10280987,12/09/22 18:56,PizzaSlice,2
Concession1,10280987,12/09/22 18:56,Fries,1
Concession2,10280988,12/09/22 18:57,BottledWater,3
Concession2,10280988,12/09/22 18:57,SoftDrink,1
Concession6,10280989,12/09/22 18:57,BottledWater,3
Concession6,10280989,12/09/22 18:57,Beer,2
Concession6,10280989,12/09/22 18:57,Hotdog,2
Concession6,10280989,12/09/22 18:57,PizzaSlice,1
Concession6,10280989,12/09/22 18:57,Fries,1
Concession4,10280990,12/09/22 18:57,BottledWater,1
Concession4,10280990,12/09/22 18:57,Beer,1
Concession4,10280991,12/09/22 18:57,Beer,2
Concession1,10280992,12/09/22 18:57,BottledWater,1
Concession1,10280992,12/09/22 18:57,Hotdog,2
Concession1,10280992,12/09/22 18:57,Hamburger,4
Concession1,10280992,12/09/22 18:57,PizzaSlice,1
Concession1,10280992,12/09/22 18:57,Fries,2
Concession1,10280993,12/09/22 18:57,SoftDrink,1
Concession1,10280993,12/09/22 18:57,Hotdog,2
Concession1,10280993,12/09/22 18:57,Hamburger,1
Concession1,10280993,12/09/22 18:57,PizzaSlice,1
Concession1,10280993,12/09/22 18:57,Fries,1
Concession8,10280994,12/09/22 18:57,SoftDrink,1
Concession8,10280994,12/09/22 18:57,Hotdog,2
Concession8,10280994,12/09/22 18:57,Hamburger,1
Concession8,10280994,12/09/22 18:57,PizzaSlice,2
Concession8,10280994,12/09/22 18:57,Fries,1
Concession4,10280995,12/09/22 18:57,Beer,2
Concession5,10280996,12/09/22 18:57,Beer,1
Concession3,10280997,12/09/22 18:57,Hamburger,1
Concession3,10280997,12/09/22 18:57,PizzaSlice,1
Concession2,10280998,12/09/22 18:57,BottledWater,2
Concession2,10280998,12/09/22 18:57,SoftDrink,1
Concession2,10280998,12/09/22 18:57,Beer,2
Concession6,10280999,12/09/22 18:57,BottledWater,1
Concession6,10280999,12/09/22 18:57,SoftDrink,1
Concession6,10280999,12/09/22 18:57,Beer,1
Concession8,10281000,12/09/22 18:57,BottledWater,2
Concession8,10281000,12/09/22 18:57,Beer,2
Concession3,10281001,12/09/22 18:57,BottledWater,1
Concession3,10281001,12/09/22 18:57,Beer,2
Concession3,10281001,12/09/22 18:57,Hotdog,1
Concession3,10281001,12/09/22 18:57,Hamburger,2
Concession3,10281001,12/09/22 18:57,PizzaSlice,3
Concession7,10281002,12/09/22 18:57,BottledWater,3
Concession7,10281002,12/09/22 18:57,Hotdog,1
Concession7,10281002,12/09/22 18:57,Hamburger,1
Concession7,10281002,12/09/22 18:57,PizzaSlice,1
Concession2,10281003,12/09/22 18:57,BottledWater,1
Concession2,10281003,12/09/22 18:57,Hotdog,2
Concession2,10281003,12/09/22 18:57,PizzaSlice,1
Concession5,10281004,12/09/22 18:57,BottledWater,1
Concession5,10281004,12/09/22 18:57,Hotdog,1
Concession5,10281004,12/09/22 18:57,Hamburger,1
Concession5,10281004,12/09/22 18:57,PizzaSlice,1
Concession1,10281005,12/09/22 18:57,BottledWater,1
Concession1,10281005,12/09/22 18:57,SoftDrink,1
Concession2,10281006,12/09/22 18:57,BottledWater,2
Concession2,10281006,12/09/22 18:57,SoftDrink,1
Concession2,10281006,12/09/22 18:57,Beer,1
Concession2,10281007,12/09/22 18:57,Beer,1
Concession2,10281007,12/09/22 18:57,Hamburger,1
Concession2,10281007,12/09/22 18:57,PizzaSlice,1
Concession3,10281008,12/09/22 18:57,Beer,2
Concession7,10281009,12/09/22 18:57,BottledWater,2
Concession7,10281009,12/09/22 18:57,SoftDrink,2
Concession7,10281009,12/09/22 18:57,PizzaSlice,1
Concession5,10281010,12/09/22 18:58,BottledWater,1
Concession5,10281010,12/09/22 18:58,Beer,1
Concession5,10281010,12/09/22 18:58,Hotdog,1
Concession5,10281010,12/09/22 18:58,PizzaSlice,3
Concession3,10281012,12/09/22 18:58,BottledWater,1
Concession3,10281012,12/09/22 18:58,Beer,2
Concession3,10281012,12/09/22 18:58,Hotdog,1
Concession3,10281012,12/09/22 18:58,PizzaSlice,2
Concession6,10281013,12/09/22 18:58,BottledWater,1
Concession6,10281013,12/09/22 18:58,SoftDrink,2
Concession6,10281013,12/09/22 18:58,PizzaSlice,1
Concession5,10281014,12/09/22 18:58,Hotdog,1
Concession5,10281014,12/09/22 18:58,PizzaSlice,1
Concession1,10281015,12/09/22 18:58,BottledWater,1
Concession1,10281015,12/09/22 18:58,Beer,1
Concession1,10281015,12/09/22 18:58,Hotdog,1
Concession1,10281015,12/09/22 18:58,Hamburger,1
Concession1,10281015,12/09/22 18:58,PizzaSlice,1
Concession3,10281016,12/09/22 18:58,BottledWater,3
Concession3,10281016,12/09/22 18:58,Beer,1
Concession2,10281017,12/09/22 18:58,SoftDrink,1
Concession2,10281017,12/09/22 18:58,Beer,2
Concession7,10281018,12/09/22 18:58,BottledWater,1
Concession7,10281018,12/09/22 18:58,Beer,1
Concession7,10281018,12/09/22 18:58,Hotdog,2
Concession7,10281018,12/09/22 18:58,PizzaSlice,4
Concession2,10281019,12/09/22 18:58,SoftDrink,1
Concession2,10281019,12/09/22 18:58,Hamburger,1
Concession2,10281019,12/09/22 18:58,Fries,1
Concession1,10281020,12/09/22 18:59,Hotdog,3
Concession1,10281020,12/09/22 18:59,Hamburger,4
Concession1,10281020,12/09/22 18:59,PizzaSlice,1
Concession2,10281021,12/09/22 18:59,BottledWater,2
Concession2,10281021,12/09/22 18:59,Beer,1
Concession2,10281021,12/09/22 18:59,Hamburger,1
Concession2,10281021,12/09/22 18:59,PizzaSlice,1
Concession2,10281022,12/09/22 18:59,BottledWater,1
Concession2,10281022,12/09/22 18:59,Beer,1
Concession1,10281023,12/09/22 18:59,BottledWater,1
Concession1,10281023,12/09/22 18:59,SoftDrink,1
Concession1,10281023,12/09/22 18:59,PizzaSlice,1
Concession1,10281023,12/09/22 18:59,Fries,1
Concession5,10281024,12/09/22 18:59,BottledWater,1
Concession5,10281024,12/09/22 18:59,Beer,1
Concession8,10281026,12/09/22 18:59,SoftDrink,1
Concession8,10281026,12/09/22 18:59,Beer,1
Concession8,10281026,12/09/22 18:59,Hotdog,1
Concession8,10281026,12/09/22 18:59,PizzaSlice,2
Concession7,10281027,12/09/22 18:59,BottledWater,1
Concession7,10281027,12/09/22 18:59,SoftDrink,1
Concession8,10281028,12/09/22 18:59,Beer,2
Concession8,10281028,12/09/22 18:59,Hotdog,4
Concession8,10281028,12/09/22 18:59,Hamburger,1
Concession8,10281028,12/09/22 18:59,PizzaSlice,1
Concession8,10281028,12/09/22 18:59,Fries,1
Concession4,10281029,12/09/22 18:59,BottledWater,1
Concession4,10281029,12/09/22 18:59,Beer,1
Concession7,10281030,12/09/22 18:59,Hotdog,1
Concession8,10281031,12/09/22 18:59,BottledWater,3
Concession8,10281031,12/09/22 18:59,SoftDrink,1
Concession8,10281031,12/09/22 18:59,Hotdog,4
Concession8,10281031,12/09/22 18:59,PizzaSlice,1
Concession2,10281032,12/09/22 18:59,Beer,1
Concession5,10281033,12/09/22 18:59,BottledWater,1
Concession5,10281033,12/09/22 18:59,Beer,2
Concession5,10281033,12/09/22 18:59,Hotdog,1
Concession6,10281034,12/09/22 18:59,Hotdog,3
Concession1,10281035,12/09/22 18:59,BottledWater,3
Concession1,10281036,12/09/22 18:59,BottledWater,3
Concession1,10281036,12/09/22 18:59,SoftDrink,1
Concession1,10281036,12/09/22 18:59,Hotdog,2
